P [mW]; data_bin; data_hex; data_dec; hamming_in; hamming_out; time [ns]; I (static) [A]; I (dynamic) [A]; time [ns]; I (laser) [A]
200; 1010; A; 10; 2; 5; 4.0000372200000004e-08; -5.53559959e-05; -0.005023062805403383; 4.49987086e-08; -1.10459039
200; 1101110; 6E; 110; 5; 6; 4.00002245e-08; 0.00011198739750000001; -0.005007560829882738; 4.50041531e-08; -1.144806865
200; 1110000; 70; 112; 3; 3; 4.000043505e-08; -8.002621174999999e-05; -0.004992104683676778; 4.49989e-08; -1.11093016
200; 1110010; 72; 114; 4; 1; 4.00010415e-08; 6.335847345e-05; -0.004998877830358181; 4.50012631e-08; -1.052094855
200; 1110011; 73; 115; 5; 5; 4.00005e-08; -5.05898739e-05; -0.005014667568294393; 4.5000423199999995e-08; -1.12187546
200; 1110100; 74; 116; 4; 3; 4.00005e-08; -2.415557475e-05; -0.004983134222521556; 4.4999745600000004e-08; -1.1101673600000002
200; 1110110; 76; 118; 5; 3; 4.0000182450000004e-08; 4.744128885e-06; -0.005017546977062051; 4.499948845e-08; -1.111628985
200; 1110111; 77; 119; 6; 6; 4.00005e-08; -0.0001034194125; -0.0050118274841944935; 4.49999762e-08; -1.1074964
200; 1111000; 78; 120; 4; 5; 4.0000105849999996e-08; 1.59677386e-05; -0.004989523942411426; 4.4999888100000005e-08; -1.10768227
200; 1111001; 79; 121; 5; 5; 4.000035e-08; 6.152199499999999e-05; -0.0049930184182211; 4.49985862e-08; -1.111055925
200; 1111010; 7A; 122; 5; 5; 4.0000062e-08; -1.16673482e-05; -0.004971967399157123; 4.50000744e-08; -1.1449765250000001
200; 1111111; 7F; 127; 7; 4; 4.000090935e-08; -1.80719268e-05; -0.005034379822564637; 4.499962775e-08; -1.10436565
200; 10000000; 80; 128; 1; 5; 4.000061715e-08; -6.69702336e-07; -0.005021144493818709; 4.500332015e-08; -1.10958259
200; 10000001; 81; 129; 2; 2; 4.000002925e-08; -4.6840123949999995e-05; -0.005017628238515922; 4.49989494e-08; -1.0965923499999999
200; 1101; D; 13; 3; 6; 4.000048915e-08; -6.296376345e-05; -0.005050546725683685; 4.50058956e-08; -1.1055785450000002
200; 10000010; 82; 130; 2; 3; 4.00005e-08; -2.111681345e-05; -0.005015325746766524; 4.49999835e-08; -1.1133487249999998
200; 10000011; 83; 131; 3; 5; 4.0000450000000005e-08; 8.829097405000001e-05; -0.0049992502826982695; 4.4998877549999995e-08; -1.118019945
200; 10000110; 86; 134; 3; 2; 4.0000450000000005e-08; 6.364840795e-05; -0.005049201294209027; 4.4999007000000004e-08; -1.12590615
200; 10000111; 87; 135; 4; 4; 4.0000450000000005e-08; -2.4026189300000002e-05; -0.005015695716781111; 4.4999643350000004e-08; -1.12756149
200; 1110; E; 14; 3; 5; 4.000013475e-08; 7.54937365e-05; -0.005032458133128217; 4.500006725e-08; -1.09584892
200; 10001100; 8C; 140; 3; 3; 4.000033e-08; -2.24521534e-06; -0.00503173019016335; 4.50037099e-08; -1.1111676400000001
200; 10001110; 8E; 142; 4; 3; 4.000015e-08; -8.072647835e-05; -0.005027507769194226; 4.49995233e-08; -1.1235564949999999
200; 10010011; 93; 147; 4; 5; 4.000031085e-08; 6.437020774999999e-05; -0.004992496719787361; 4.500040715e-08; -1.125860295
200; 10010101; 95; 149; 4; 3; 4.0000134400000004e-08; 1.874186405e-05; -0.0050109867066715835; 4.49991728e-08; -1.10776228
200; 1111; F; 15; 4; 5; 4.00000761e-08; 9.751461785e-06; -0.005037479199575211; 4.49999471e-08; -1.1235937850000002
200; 10010110; 96; 150; 4; 2; 4.00005e-08; 4.8388239e-05; -0.0050275907744962755; 4.499987955e-08; -1.123891075
200; 10010111; 97; 151; 5; 2; 4.000105e-08; -2.5409893250000002e-05; -0.00499184814162761; 4.500031875e-08; -1.12330991
200; 10100011; A3; 163; 4; 2; 4.000015e-08; -1.27835627e-05; -0.005004185010444644; 4.4999972400000004e-08; -1.10624239
200; 10100110; A6; 166; 4; 2; 4.000015e-08; -9.715864499999999e-06; -0.005031436315059223; 4.5000024450000005e-08; -1.12415028
200; 10100111; A7; 167; 5; 4; 4.00011659e-08; 1.5227649e-05; -0.0050158633009780955; 4.500015445e-08; -1.110954935
200; 10101000; A8; 168; 3; 3; 4.000032985e-08; -0.00010729347149999999; -0.0049838916672589224; 4.5002386199999996e-08; -1.123195725
200; 10101101; AD; 173; 5; 4; 4.000040285e-08; -7.38145655e-05; -0.005000306235143518; 4.4999711e-08; -1.12490268
200; 10101111; AF; 175; 6; 5; 4.00005e-08; -0.000101950393; -0.005008531477247927; 4.49989681e-08; -1.12557421
200; 10010; 12; 18; 2; 4; 4.0000174400000003e-08; 7.19136693e-05; -0.005027879197028811; 4.50001687e-08; -1.11268943
200; 10110100; B4; 180; 4; 4; 4.000069945e-08; 2.0951361e-06; -0.0049901963987042525; 4.50040175e-08; -1.140823465
200; 10110101; B5; 181; 5; 5; 4.000005e-08; -2.5636263400000002e-05; -0.005009692070792724; 4.499968985e-08; -1.112437775
200; 10110110; B6; 182; 5; 4; 4.0000433549999996e-08; 9.249251895e-07; -0.0050171701054208635; 4.4998912e-08; -1.12422829
200; 10111011; BB; 187; 6; 5; 4.000015e-08; 1.16087725e-05; -0.005010842532825989; 4.50006248e-08; -1.11145856
200; 10111110; BE; 190; 6; 5; 4.00005e-08; -9.04447925e-05; -0.005020595291201593; 4.49997699e-08; -1.107351985
200; 10111111; BF; 191; 7; 1; 4.000005e-08; 3.5961431149999996e-05; -0.0050427827759322846; 4.49989867e-08; -1.106420105
200; 11000000; C0; 192; 2; 5; 4.00010328e-08; 3.525951885e-05; -0.005015957410322616; 4.5000746e-08; -1.10932671
200; 11000001; C1; 193; 3; 4; 4.000027675e-08; -1.1922240015e-05; -0.00501582683022307; 4.4999030799999995e-08; -1.1699069149999999
200; 11000010; C2; 194; 3; 3; 4.0000450000000005e-08; -9.048422819999999e-05; -0.0050036488909803835; 4.5000435799999996e-08; -1.11258934
200; 11000011; C3; 195; 4; 4; 4.00005808e-08; -0.000105777954; -0.005009115700258045; 4.49992205e-08; -1.114323045
200; 11000101; C5; 197; 4; 4; 4.00005e-08; -9.678501580000001e-05; -0.005002127794965533; 4.500048025e-08; -1.1222181999999998
200; 11000110; C6; 198; 4; 4; 4.000035e-08; -8.939649895e-06; -0.005024871358531454; 4.49996072e-08; -1.173938895
200; 11001010; CA; 202; 4; 4; 4.000035e-08; -1.614437535e-05; -0.004975411619808404; 4.49999075e-08; -1.104734175
200; 11001011; CB; 203; 5; 5; 4.000008535e-08; -5.4198906150000004e-05; -0.004993565768003445; 4.50040612e-08; -1.10493394
200; 11001101; CD; 205; 5; 6; 4.0000450000000005e-08; -7.852465705e-05; -0.00502972411362063; 4.49999175e-08; -1.107723475
200; 11001110; CE; 206; 5; 4; 4.0000102200000004e-08; -3.430586395e-06; -0.0050167570955437215; 4.5000599350000004e-08; -1.10405713
200; 11001111; CF; 207; 6; 3; 4.0000999049999996e-08; -4.659310335e-05; -0.005018158833754102; 4.499981105e-08; -1.165365715
200; 11010100; D4; 212; 4; 2; 4.00007149e-08; 0.000121618282; -0.005002456396485882; 4.50002537e-08; -1.111425915
