P [mW]; data_bin; data_hex; data_dec; hamming_in; hamming_out; time [ns]; I (static) [A]; I (dynamic) [A]; time [ns]; I (laser) [A]
600; 1100100; 64; 100; 3; 3; 2.0005e-08; 1.972675593e-06; -0.003717030025317973; 2.99682829e-08; -3.003064805
600; 10001110; 8E; 142; 4; 3; 2.0005e-08; 3.1868999935e-05; -0.0037311225277319475; 2.9994690700000004e-08; -3.000565475
600; 10010000; 90; 144; 2; 2; 2.0005e-08; 2.184439838e-05; -0.003715412794446979; 3.0049275700000003e-08; -3.00809715
600; 10010010; 92; 146; 3; 5; 2.0005e-08; -6.271862960000001e-06; -0.0037090489519669757; 2.9950378900000004e-08; -2.9959188450000003
600; 10011110; 9E; 158; 5; 3; 2.0005e-08; -9.881806125e-06; -0.0037313734539971086; 3.00457198e-08; -2.9978644799999996
600; 10100010; A2; 162; 3; 4; 2.0005e-08; 9.1512423745e-05; -0.0037173634634235274; 2.9962983199999996e-08; -2.994033125
600; 10100111; A7; 167; 5; 4; 2.0005e-08; 8.523718965e-06; -0.003722274762105352; 3.00212799e-08; -3.01000216
600; 10101100; AC; 172; 4; 3; 2.0005e-08; 3.455751198e-05; -0.003740099849418487; 2.99638556e-08; -3.006153525
600; 10101110; AE; 174; 5; 4; 2.0005e-08; 5.9030357999999995e-06; -0.0037427353416465705; 2.9966013e-08; -2.9956598100000003
600; 10110000; B0; 176; 3; 6; 2.0005e-08; -1.353721948e-05; -0.0037352722467106905; 2.9972730700000005e-08; -3.008825585
600; 10110010; B2; 178; 4; 5; 2.0005e-08; 2.8977080565e-05; -0.003722292813127559; 3.00485331e-08; -3.00138196
600; 10110011; B3; 179; 5; 5; 2.0005e-08; 3.1093691065e-05; -0.0037739791019267025; 2.9980064399999995e-08; -3.009734505
600; 10010; 12; 18; 2; 4; 2.0005e-08; 1.4436792549999999e-06; -0.003727936801755697; 3.00297725e-08; -3.00024245
600; 10110100; B4; 180; 4; 4; 2.0005e-08; 4.601164198e-05; -0.003736061604405536; 2.9991690600000005e-08; -3.012130665
600; 10111110; BE; 190; 6; 5; 2.0005e-08; -4.6066779279999995e-05; -0.0037444447372811983; 3.00428905e-08; -3.00325518
600; 11010100; D4; 212; 4; 2; 2.0005e-08; -1.9273257995e-05; -0.0037303453653461495; 3.00455187e-08; -3.01711043
600; 11010111; D7; 215; 6; 3; 2.0005e-08; 4.8583413e-06; -0.003722558572408892; 3.00472516e-08; -3.01574951
600; 11100011; E3; 227; 5; 2; 2.0005e-08; 1.8130223470000003e-05; -0.0037570171741979456; 2.99582137e-08; -3.0131309799999997
600; 11100101; E5; 229; 5; 5; 2.0005e-08; 4.636083838e-05; -0.00372338965236277; 3.00381326e-08; -3.02019588
600; 100101; 25; 37; 3; 6; 2.0005e-08; 3.1884500930000003e-05; -0.0037323728579854998; 3.00316397e-08; -3.01791134
600; 1000111; 47; 71; 4; 2; 2.0005e-08; 4.821373975e-06; -0.0037105718825818615; 3.00484242e-08; -3.011225365
600; 1001001; 49; 73; 3; 5; 2.0005e-08; 7.9159340285e-05; -0.003734159335530227; 2.9977890699999995e-08; -3.01050617
600; 1001011; 4B; 75; 4; 5; 2.0005e-08; -2.134045017e-05; -0.0037458744974952947; 2.99935611e-08; -3.009456255
600; 1011001; 59; 89; 4; 5; 2.0005e-08; 1.654683219e-05; -0.003746663247573543; 3.00177836e-08; -3.00922542
600; 1011111; 5F; 95; 6; 6; 2.0005e-08; 1.247299404e-05; -0.0037492599967524536; 3.0025216799999996e-08; -3.00652603
600; 1100000; 60; 96; 2; 3; 2.0005e-08; 1.68900418e-05; -0.0037194053788373693; 3.0031339e-08; -3.002392945
600; 1100011; 63; 99; 4; 7; 2.0005e-08; -3.184433335e-06; -0.003764952455259867; 2.99848824e-08; -3.00019309
