P [mW]; data_bin; data_hex; data_dec; hamming_in; hamming_out; time [ns]; I (static) [A]; I (dynamic) [A]; time [ns]; I (laser) [A]
100; 0; 0; 0; 0; 4; 2.0000429199999998e-08; 3.46345087e-06; -0.0035883208788289093; 3.00242e-08; -0.307028334
100; 1; 1; 1; 1; 5; 2.000143125e-08; 5.978721555e-06; -0.0035845658963326588; 3.0025e-08; -0.3069877145
100; 1010; A; 10; 2; 5; 2.00020214e-08; 1.43733273e-05; -0.0035851260590908265; 3.0025e-08; -0.306992892
100; 1100100; 64; 100; 3; 3; 2.0000150000000002e-08; 1.3230587999999999e-05; -0.003597961071620194; 3.0018297149999996e-08; -0.306898338
100; 1100101; 65; 101; 4; 4; 2.00016361e-08; 2.01380683e-05; -0.0035959006746950346; 2.999936e-08; -0.307006377
100; 1100110; 66; 102; 4; 4; 2.00033844e-08; 1.1911764549999999e-05; -0.0035921404635357833; 2.99956912e-08; -0.306972368
100; 1100111; 67; 103; 5; 3; 2.00009566e-08; 1.99687856e-05; -0.0035885445833130527; 3.00178e-08; -0.307004556
100; 1101000; 68; 104; 3; 3; 2.00032e-08; 1.814362555e-05; -0.0035961141316406503; 3.0025e-08; -0.306925489
100; 1101001; 69; 105; 4; 6; 2.0005e-08; 1.561804985e-05; -0.0036091770013858917; 3.0003192e-08; -0.306877726
100; 1101010; 6A; 106; 4; 1; 2.00001344e-08; 1.8338579149999997e-05; -0.003594558954817244; 2.99918e-08; -0.307007063
100; 1101011; 6B; 107; 5; 7; 2.00005415e-08; 1.0937417889999999e-05; -0.0036136674230642925; 3.0025e-08; -0.3068178225
100; 1101100; 6C; 108; 4; 2; 2.00013793e-08; 2.027304345e-05; -0.003590312939747327; 2.9980733e-08; -0.307027748
100; 1101101; 6D; 109; 5; 4; 2.000061235e-08; 1.399570125e-05; -0.0036035980643174025; 3.0005e-08; -0.307018486
100; 1011; B; 11; 3; 4; 2.000085705e-08; 9.668761785e-06; -0.0036144139990217307; 3.002495315e-08; -0.306966753
100; 1101110; 6E; 110; 5; 6; 2.0005e-08; 2.0149640000000017e-07; -0.0036196083165503158; 2.99792022e-08; -0.306965631
100; 1101111; 6F; 111; 6; 3; 2.0000994299999998e-08; 2.57093176e-05; -0.0036041133964986507; 3.00231904e-08; -0.307041584
100; 1110000; 70; 112; 3; 3; 2.0001147e-08; 1.50272909e-05; -0.003602194777581219; 3.0019728e-08; -0.306928271
100; 1110010; 72; 114; 4; 1; 2.0001500000000002e-08; 8.435668295e-06; -0.003582150842589858; 3.0025e-08; -0.30701127
100; 1110011; 73; 115; 5; 5; 2.00011379e-08; 7.837296039999999e-06; -0.0035923396729996234; 3.0023000000000004e-08; -0.306970511
100; 1110100; 74; 116; 4; 3; 2.00005e-08; 1.463952675e-05; -0.003581405447361855; 3.0018e-08; -0.30689449150000003
100; 1110101; 75; 117; 5; 5; 2.0003999999999998e-08; 1.742093125e-05; -0.0035878510205561696; 3.00001264e-08; -0.306938603
100; 1110110; 76; 118; 5; 3; 2.000018875e-08; 8.420296915e-06; -0.0035973924857195124; 3.00156e-08; -0.307001556
100; 1110111; 77; 119; 6; 6; 2.0000150000000002e-08; 1.1411873400000001e-05; -0.0035885084786078064; 3.0007344e-08; -0.306954082
100; 1100; C; 12; 2; 7; 2.00015562e-08; 2.7527849e-06; -0.0035953797148753222; 3.001e-08; -0.306887611
100; 1111000; 78; 120; 4; 5; 2.00013253e-08; 3.393845275e-05; -0.0035864162482898984; 3.0007e-08; -0.306925117
100; 1111001; 79; 121; 5; 5; 2.0003583999999998e-08; 2.75747629e-05; -0.0035811950565369528; 2.998316595e-08; -0.306923955
100; 1111010; 7A; 122; 5; 5; 2.00032e-08; 1.890045905e-05; -0.0035900155568243; 3.001e-08; -0.306940591
100; 1111011; 7B; 123; 6; 2; 2.0001565699999998e-08; 4.708979995e-06; -0.0035980341876594613; 3.0025e-08; -0.307004225
100; 1111100; 7C; 124; 5; 1; 2.000239505e-08; 2.143768625e-05; -0.0035824811492771802; 3.001122495e-08; -0.307018949
100; 1111101; 7D; 125; 6; 8; 2.000296695e-08; 3.3517633249999997e-06; -0.0036034697136488377; 3.0025e-08; -0.30699122349999997
100; 1111110; 7E; 126; 6; 6; 2.0001348849999998e-08; 2.582368815e-05; -0.0036120901942750857; 2.99792022e-08; -0.306995957
100; 1111111; 7F; 127; 7; 4; 2.0003499999999998e-08; 4.093757525e-06; -0.003587113897600341; 2.99826e-08; -0.306991845
100; 10000000; 80; 128; 1; 5; 2.00005e-08; 1.80053656e-05; -0.003601024148247793; 3.00242e-08; -0.306881064
100; 10000001; 81; 129; 2; 2; 2.00000847e-08; 9.68787776e-06; -0.0035866488783158662; 3.0025e-08; -0.3069556795
100; 1101; D; 13; 3; 6; 2.00029696e-08; 1.35246134e-05; -0.0036038904985482454; 3.0025e-08; -0.3069575325
100; 10000010; 82; 130; 2; 3; 2.000224e-08; 2.57349382e-06; -0.0035904995046457644; 3.00128768e-08; -0.306911331
100; 10000011; 83; 131; 3; 5; 2.00005e-08; 6.074615725e-06; -0.0035854476192853897; 3.0025e-08; -0.30699173150000003
100; 10000100; 84; 132; 2; 6; 2.00005e-08; 1.968272825e-05; -0.0035868075777708555; 3.00032e-08; -0.306800951
100; 10000101; 85; 133; 3; 5; 2.0000146449999998e-08; 1.78752363e-05; -0.0035887491662736117; 2.9998e-08; -0.306913489
100; 10000110; 86; 134; 3; 2; 2.00044067e-08; 9.449425415000001e-06; -0.0035868553169234123; 3.001e-08; -0.3069446235
100; 10000111; 87; 135; 4; 4; 2.000013775e-08; -6.656382915e-06; -0.0035786538574000912; 3.00226176e-08; -0.30692093
100; 10001000; 88; 136; 2; 3; 2.000105e-08; -2.415135635e-06; -0.003578410753088124; 3.000744e-08; -0.306887832
100; 10001001; 89; 137; 3; 5; 2.0000768e-08; 7.87451995e-07; -0.003595562725204728; 3.0025e-08; -0.3068709605
100; 10001010; 8A; 138; 3; 6; 2.0005e-08; 1.43673758e-05; -0.0035954602294838312; 3.0025e-08; -0.30686571549999997
100; 10001011; 8B; 139; 4; 5; 2.000252005e-08; 3.648105205e-05; -0.003605578664177354; 2.99783878e-08; -0.306814381
100; 1110; E; 14; 3; 5; 2.0000960000000002e-08; 2.30422385e-05; -0.0036218876158488557; 3.0025e-08; -0.30702154400000004
100; 10001100; 8C; 140; 3; 3; 2.0000150000000002e-08; 1.7181864899999998e-05; -0.003589973613267365; 3.00125e-08; -0.306903203
100; 10001101; 8D; 141; 4; 5; 2.0001500000000002e-08; 1.307337945e-05; -0.003593338828201023; 3.0025e-08; -0.306943246
100; 10001110; 8E; 142; 4; 3; 2.000250685e-08; -3.5519558499999998e-06; -0.00360314468945984; 3.002399335e-08; -0.306953473
100; 10001111; 8F; 143; 5; 5; 2.000062985e-08; 6.07803394e-06; -0.003587470800044229; 3.0025e-08; -0.3069048035
100; 10010000; 90; 144; 2; 2; 2.000068625e-08; 2.10172185e-05; -0.0035891911228070955; 3.0025e-08; -0.306926546
100; 10010010; 92; 146; 3; 5; 2.0003499999999998e-08; 1.0389866e-05; -0.0035874146513239875; 3.0025e-08; -0.30685247449999997
100; 10010011; 93; 147; 4; 5; 2.00020249e-08; 3.06934468e-05; -0.003584836212088341; 3.000128e-08; -0.306957339
100; 10010100; 94; 148; 3; 2; 2.00001101e-08; 2.0411164e-05; -0.0035737259419913055; 3.0025e-08; -0.3069015625
100; 10010101; 95; 149; 4; 3; 2.0001500000000002e-08; 1.920249385e-05; -0.0035807141006070427; 3.00032e-08; -0.306956234
100; 1111; F; 15; 4; 5; 2.00007059e-08; 2.1900710499999997e-05; -0.003581566180790432; 2.9997658300000004e-08; -0.307040889
100; 10010110; 96; 150; 4; 2; 2.0000332049999998e-08; 4.00354225e-07; -0.0035900692573078946; 2.99942e-08; -0.306978934
100; 10010111; 97; 151; 5; 2; 2.000149385e-08; 1.3628152149999999e-05; -0.0035752217038017777; 3.0003999999999995e-08; -0.306939938
100; 10011000; 98; 152; 3; 3; 2.0001454049999998e-08; 2.182313535e-05; -0.0035703258598204814; 3.00083789e-08; -0.306919601
100; 10011001; 99; 153; 4; 6; 2.000213825e-08; 7.551592495e-06; -0.0035825902173297662; 3.0025e-08; -0.306878207
