P [mW]; data_bin; data_hex; data_dec; hamming_in; hamming_out; time [ns]; I (static) [A]; I (dynamic) [A]; time [ns]; I (laser) [A]
200; 0; 0; 0; 0; 4; 2.00011498e-08; -1.3584035305e-05; -0.004043056157279756; 3.0000000000000004e-08; -0.16820349299999998
200; 1; 1; 1; 1; 5; 2.0005e-08; 2.6524126265e-05; -0.003921620256460262; 3.0000000000000004e-08; -0.16783146599999998
200; 1010; A; 10; 2; 5; 2.0005e-08; -1.3758403635e-05; -0.004166438575846335; 3.0000000000000004e-08; -0.1668788845
200; 1100101; 65; 101; 4; 4; 2.0005e-08; 3.021215946e-05; -0.003815320455991894; 3.0000000000000004e-08; -0.16646253049999998
200; 1100110; 66; 102; 4; 4; 2.0005e-08; 2.4108374535e-05; -0.003751642212793253; 3.0000000000000004e-08; -0.1674726825
200; 1100111; 67; 103; 5; 3; 2.0005e-08; -3.4954504265e-05; -0.0038390001182144508; 3.0000000000000004e-08; -0.166946959
200; 1101000; 68; 104; 3; 3; 2.0005e-08; 1.22276424e-06; -0.0044368300754160745; 3.0000000000000004e-08; -0.1678874795
200; 1101001; 69; 105; 4; 6; 2.0005e-08; -8.474304400000001e-07; -0.004399566993880906; 3.0000000000000004e-08; -0.166863697
200; 1101010; 6A; 106; 4; 1; 2.0005e-08; 8.01562465e-07; -0.004073419712768399; 3.0000000000000004e-08; -0.1681511865
200; 1101011; 6B; 107; 5; 7; 2.0005e-08; -2.430229985e-06; -0.0040380386801358885; 3.0000000000000004e-08; -0.166909113
200; 1101100; 6C; 108; 4; 2; 2.0005e-08; -1.0667103220000001e-05; -0.0038900881702441056; 3.0000000000000004e-08; -0.168656364
200; 1101101; 6D; 109; 5; 4; 2.0005e-08; -1.8447698585e-05; -0.003726496485501912; 3.0000000000000004e-08; -0.1683753365
200; 1011; B; 11; 3; 4; 2.0005e-08; -4.655537395e-06; -0.004144720060903648; 3.0000000000000004e-08; -0.166216239
200; 1101110; 6E; 110; 5; 6; 2.0005e-08; -1.0495033715e-05; -0.003697472970201458; 3.0000000000000004e-08; -0.167260851
200; 1101111; 6F; 111; 6; 3; 2.0005e-08; 1.469275923e-05; -0.003664047685018772; 3.0000000000000004e-08; -0.16765002899999998
200; 1110000; 70; 112; 3; 3; 2.0005e-08; -9.71508245e-06; -0.003932526034977777; 3.0000000000000004e-08; -0.1674035505
200; 1110001; 71; 113; 4; 4; 2.0005e-08; 2.311800355e-06; -0.003793777796414103; 3.0000000000000004e-08; -0.16757360049999998
200; 1110010; 72; 114; 4; 1; 2.0005e-08; 4.48494713e-06; -0.003860333479845761; 3.0000000000000004e-08; -0.167446533
200; 1110011; 73; 115; 5; 5; 2.0005e-08; -2.9505943995e-05; -0.003738458522927996; 3.0000000000000004e-08; -0.166239092
200; 1110100; 74; 116; 4; 3; 2.0005e-08; 3.49717572e-06; -0.003908088242352073; 3.0000000000000004e-08; -0.166544443
200; 1110101; 75; 117; 5; 5; 2.0005e-08; -2.490071393e-05; -0.0038217119458439953; 3.0000000000000004e-08; -0.165759176
200; 1110110; 76; 118; 5; 3; 2.0005e-08; -3.7352382714999995e-05; -0.0037840730864591335; 3.0000000000000004e-08; -0.1667730705
200; 1110111; 77; 119; 6; 6; 2.0005e-08; 3.9302374489999995e-05; -0.0037896979934936093; 3.0000000000000004e-08; -0.16583330899999998
200; 1100; C; 12; 2; 7; 2.0005e-08; -2.61755099e-06; -0.0038956732447187957; 3.0000000000000004e-08; -0.16880798949999998
200; 1111000; 78; 120; 4; 5; 2.0005e-08; -7.797164795e-06; -0.0043296030673058705; 3.0000000000000004e-08; -0.1664204445
200; 1111001; 79; 121; 5; 5; 2.0005e-08; -3.6960993175e-05; -0.004303379010434543; 3.0000000000000004e-08; -0.1654912875
200; 1111010; 7A; 122; 5; 5; 2.0005e-08; 5.56954556e-06; -0.0041775607422483065; 3.0000000000000004e-08; -0.166680471
200; 1111011; 7B; 123; 6; 2; 2.0005e-08; 2.2901953235e-05; -0.00413460897121812; 3.0000000000000004e-08; -0.16581693
200; 1111100; 7C; 124; 5; 1; 2.0005e-08; 1.6182459949999998e-05; -0.0038219652207367905; 3.0000000000000004e-08; -0.167585651
200; 1111101; 7D; 125; 6; 8; 2.0005e-08; -1.777482657e-05; -0.0036728437836170123; 3.0000000000000004e-08; -0.167280872
200; 1111110; 7E; 126; 6; 6; 2.0005e-08; 1.8811669725000003e-05; -0.0037396192649798436; 3.0000000000000004e-08; -0.166365486
200; 1111111; 7F; 127; 7; 4; 2.0005e-08; -2.3154430195e-05; -0.003726496584458549; 3.0000000000000004e-08; -0.16679143200000002
200; 10000000; 80; 128; 1; 5; 2.0005e-08; -2.1137196295e-05; -0.004036376561196571; 3.0000000000000004e-08; -0.168911207
200; 10000001; 81; 129; 2; 2; 2.0005e-08; -7.73620193e-06; -0.003943214974357274; 3.0000000000000004e-08; -0.16894258750000002
200; 1101; D; 13; 3; 6; 2.0005e-08; -2.4591709014999996e-06; -0.003793188490514573; 3.0000000000000004e-08; -0.168326592
200; 10000010; 82; 130; 2; 3; 2.0005e-08; 1.4476599055e-05; -0.0038384128256916303; 3.0000000000000004e-08; -0.1680622225
200; 10000011; 83; 131; 3; 5; 2.0005e-08; 2.70963255e-06; -0.003766961785820625; 3.0000000000000004e-08; -0.1668541065
200; 10000100; 84; 132; 2; 6; 2.0005e-08; -9.18116641e-06; -0.003995673880891544; 3.0000000000000004e-08; -0.167670577
200; 10000101; 85; 133; 3; 5; 2.0005e-08; -2.2797209105e-05; -0.003885991059963881; 3.0000000000000004e-08; -0.16719549449999999
200; 10000110; 86; 134; 3; 2; 2.0004977749999998e-08; 3.3223358285e-05; -0.0037864345632659235; 3.0000000000000004e-08; -0.167624725
200; 10000111; 87; 135; 4; 4; 2.0005e-08; -1.499013422e-05; -0.0037234188590396307; 3.0000000000000004e-08; -0.166839468
200; 10001000; 88; 136; 2; 3; 2.0005e-08; 1.8212750305e-05; -0.004683020175809225; 3.0000000000000004e-08; -0.167842936
