P [mW]; data_bin; data_hex; data_dec; hamming_in; hamming_out; time [ns]; I (static) [A]; I (dynamic) [A]; time [ns]; I (laser) [A]
500; 1; 1; 1; 1; 5; 4.000005e-08; 0.00013010833100000001; -0.005014439108625751; 4.500802075e-08; -3.048000405
500; 1010; A; 10; 2; 5; 4.00004049e-08; -4.4761072e-05; -0.005018102124028829; 4.49995652e-08; -3.04635318
500; 1100101; 65; 101; 4; 4; 4.00005e-08; -1.566998815e-05; -0.0049799809856872984; 4.499984725e-08; -3.0510711
500; 1100111; 67; 103; 5; 3; 4.00002441e-08; 9.78087605e-05; -0.005045598627012818; 4.49990954e-08; -3.046768875
500; 1101001; 69; 105; 4; 6; 4.000005e-08; 2.99627633e-06; -0.004963348015545056; 4.50017933e-08; -2.927725045
500; 1101011; 6B; 107; 5; 7; 4.00005e-08; -5.040100715e-05; -0.00496442550199982; 4.500064205e-08; -3.000183215
500; 1110010; 72; 114; 4; 1; 4.000031245e-08; 7.376981445e-05; -0.004990326027015385; 4.499198425e-08; -3.050512585
500; 1110011; 73; 115; 5; 5; 4.0000402800000004e-08; -4.051264215e-05; -0.0050049015127649095; 4.5007026200000006e-08; -3.0407268700000003
500; 1110100; 74; 116; 4; 3; 4.00005e-08; -1.405563655e-05; -0.004973959916406627; 4.499559515e-08; -3.046053255
500; 1111101; 7D; 125; 6; 8; 4.0000857700000005e-08; -7.230607725e-05; -0.005013474879933979; 4.500364e-08; -3.04847114
500; 1111110; 7E; 126; 6; 6; 4.000015e-08; -7.908493695e-05; -0.004997968788113389; 4.49977409e-08; -3.04776281
500; 1111111; 7F; 127; 7; 4; 4.000015e-08; -2.549948855e-06; -0.005015194366229491; 4.50139657e-08; -2.945710305
500; 10000000; 80; 128; 1; 5; 4.000015e-08; 9.89689594e-06; -0.005017399936657583; 4.50019136e-08; -3.048184355
500; 10000001; 81; 129; 2; 2; 4.000002925e-08; -3.655977795e-05; -0.0050093617702152435; 4.5001371399999996e-08; -3.03555986
500; 10001000; 88; 136; 2; 3; 4.000015e-08; 2.129688885e-05; -0.005012950792743185; 4.50027094e-08; -3.04916928
500; 10001001; 89; 137; 3; 5; 4.000004495e-08; -4.8139070699999994e-05; -0.0050037447315186235; 4.50055268e-08; -3.049791185
500; 10001011; 8B; 139; 4; 5; 4.000015e-08; 5.872674635e-05; -0.0049931367191670606; 4.49938843e-08; -3.049722735
500; 1110; E; 14; 3; 5; 4.000015325e-08; 8.571114869999999e-05; -0.005023915227863775; 4.500639595e-08; -2.95079184
500; 10001100; 8C; 140; 3; 3; 4.0000450000000005e-08; 8.013488535e-06; -0.00502242798821339; 4.499154665e-08; -3.0490487
500; 10001101; 8D; 141; 4; 5; 4.00005e-08; 4.32919511e-05; -0.005046460789952987; 4.49940394e-08; -2.9342807449999997
500; 10010010; 92; 146; 3; 5; 4.00005e-08; 3.773333165e-05; -0.004992806861689425; 4.499642565e-08; -2.69091393
500; 1111; F; 15; 4; 5; 4.00005e-08; 2.06253772e-05; -0.005029801809894755; 4.5000072500000004e-08; -3.047919065
500; 10010110; 96; 150; 4; 2; 4.000015e-08; 5.8787619400000005e-05; -0.005017876657775104; 4.499670065e-08; -3.050567825
500; 10011100; 9C; 156; 4; 6; 4.000015e-08; -1.603437895e-05; -0.005001065187886946; 4.49991169e-08; -3.048619005
500; 10011101; 9D; 157; 5; 5; 4.0000428550000004e-08; -3.823717505e-05; -0.005007051071215292; 4.4997952e-08; -3.04766898
500; 10011110; 9E; 158; 5; 3; 4.000004e-08; -2.69073062e-05; -0.0050133259696417045; 4.499968595e-08; -3.0439393299999997
500; 10011111; 9F; 159; 6; 6; 4.000035e-08; 2.90147786e-05; -0.005020459215411894; 4.500126705e-08; -3.049134375
500; 10100110; A6; 166; 4; 2; 4.000005e-08; 7.892187290000001e-07; -0.005029312382308333; 4.4996795950000006e-08; -3.0526084950000003
500; 10100111; A7; 167; 5; 4; 4.000049415e-08; 2.54794783e-05; -0.005007507392260976; 4.50002709e-08; -3.04997769
500; 10101000; A8; 168; 3; 3; 4.000015e-08; -9.71806431e-05; -0.004972794370820239; 4.50040089e-08; -2.975232245
500; 10101110; AE; 174; 5; 4; 4.00006621e-08; -1.481856605e-05; -0.005011755046403585; 4.49967653e-08; -2.911373675
500; 10110011; B3; 179; 5; 5; 4.00005e-08; -3.99667065e-06; -0.005015321939824593; 4.498097615e-08; -2.96866458
500; 10110111; B7; 183; 6; 4; 4.000071795e-08; -8.903169215e-06; -0.005001165536072089; 4.4998273899999997e-08; -3.04440323
500; 10111000; B8; 184; 4; 4; 4.00005e-08; 5.74420279e-05; -0.0049705572144261075; 4.49997853e-08; -3.04954554
500; 10111001; B9; 185; 5; 4; 4.0000157e-08; 1.715575385e-05; -0.00497699895910261; 4.4999058949999996e-08; -3.048703735
500; 10011; 13; 19; 3; 6; 4.00002238e-08; -1.3181367949999999e-06; -0.005018113993022569; 4.50019838e-08; -2.89425872
500; 10111110; BE; 190; 6; 5; 4.000015e-08; -8.038475575e-05; -0.005009471397411905; 4.49902565e-08; -3.046803935
