P [mW]; data_bin; data_hex; data_dec; hamming_in; hamming_out; time [ns]; I (static) [A]; I (dynamic) [A]; time [ns]; I (laser) [A]
500; 0; 0; 0; 0; 4; 2.0001149750000002e-08; -1.3684782645e-05; -0.0040431600213668255; 3.0000000000000004e-08; -0.403463919
500; 1; 1; 1; 1; 5; 2.0005e-08; 2.6420507655e-05; -0.003921724076778447; 3.0000000000000004e-08; -0.4004336605
500; 1010; A; 10; 2; 5; 2.0005e-08; -1.3865038925e-05; -0.004166542463591225; 3.0000000000000004e-08; -0.397309074
500; 1100100; 64; 100; 3; 3; 2.0005e-08; -4.005225731e-05; -0.003979364108438555; 3.0000000000000004e-08; -0.4015235745
500; 1100101; 65; 101; 4; 4; 2.0005e-08; 3.0109654849999997e-05; -0.0038154245100358412; 3.0000000000000004e-08; -0.398104473
500; 1100110; 66; 102; 4; 4; 2.0005e-08; 2.400383506e-05; -0.003751746561168752; 3.0000000000000004e-08; -0.400895926
500; 1100111; 67; 103; 5; 3; 2.0005e-08; -3.5062981305000004e-05; -0.0038391043919535654; 3.0000000000000004e-08; -0.3985690745
500; 1101000; 68; 104; 3; 3; 2.0005e-08; 1.1256560149999999e-06; -0.004436934164360569; 3.0000000000000004e-08; -0.4033882085
500; 1101001; 69; 105; 4; 6; 2.0005e-08; -9.528237099999999e-07; -0.0043996704410077594; 3.0000000000000004e-08; -0.39898831999999995
500; 1101010; 6A; 106; 4; 1; 2.0005e-08; 7.012422399999999e-07; -0.004073523307808668; 3.0000000000000004e-08; -0.40379185500000003
500; 1101011; 6B; 107; 5; 7; 2.0005e-08; -2.53703047e-06; -0.004038142950516367; 3.0000000000000004e-08; -0.398897434
500; 1101100; 6C; 108; 4; 2; 2.0005e-08; -1.0778750365e-05; -0.0038901924350253788; 3.0000000000000004e-08; -0.40515415050000003
500; 1101101; 6D; 109; 5; 4; 2.0005e-08; -1.8553946110000003e-05; -0.003726601401628352; 3.0000000000000004e-08; -0.403976456
500; 1011; B; 11; 3; 4; 2.0005e-08; -4.76751393e-06; -0.004144824341967219; 3.0000000000000004e-08; -0.3954263095
500; 1101110; 6E; 110; 5; 6; 2.0005e-08; -1.0592811145e-05; -0.003697577548297001; 3.0000000000000004e-08; -0.40061969249999996
500; 1101111; 6F; 111; 6; 3; 2.0005e-08; 1.458609688e-05; -0.003664151742805273; 3.0000000000000004e-08; -0.4009946055
500; 1110000; 70; 112; 3; 3; 2.0005e-08; -9.818471639999999e-06; -0.003932629931087099; 3.0000000000000004e-08; -0.39974786500000004
500; 1110001; 71; 113; 4; 4; 2.0005e-08; 2.2064883750000003e-06; -0.0037938816670525077; 3.0000000000000004e-08; -0.401139042
500; 1110010; 72; 114; 4; 1; 2.0005e-08; 4.381102145e-06; -0.0038604379422829105; 3.0000000000000004e-08; -0.400326544
500; 1110011; 73; 115; 5; 5; 2.0005e-08; -2.960075223e-05; -0.0037385618219122345; 3.0000000000000004e-08; -0.396532775
500; 1110100; 74; 116; 4; 3; 2.0005e-08; 3.3927624199999996e-06; -0.003908192038610285; 3.0000000000000004e-08; -0.398466326
500; 1110101; 75; 117; 5; 5; 2.0005e-08; -2.500469668e-05; -0.003821815820505295; 3.0000000000000004e-08; -0.395415062
500; 1110110; 76; 118; 5; 3; 2.0005e-08; -3.745797664e-05; -0.0037841771378599046; 3.0000000000000004e-08; -0.399168597
500; 1110111; 77; 119; 6; 6; 2.0005e-08; 3.919789753e-05; -0.0037898020713735985; 3.0000000000000004e-08; -0.39512366600000004
500; 1100; C; 12; 2; 7; 2.0005e-08; -2.70080659e-06; -0.0038957783951167934; 3.0000000000000004e-08; -0.404900517
500; 1111000; 78; 120; 4; 5; 2.0005e-08; -7.90634145e-06; -0.004329707033440927; 3.0000000000000004e-08; -0.39817323400000004
500; 1111001; 79; 121; 5; 5; 2.0005e-08; -3.7067530685e-05; -0.004303482755770618; 3.0000000000000004e-08; -0.3939955035
500; 1111010; 7A; 122; 5; 5; 2.0005e-08; 5.46989386e-06; -0.004177664670005947; 3.0000000000000004e-08; -0.3988135665
500; 1111011; 7B; 123; 6; 2; 2.0005e-08; 2.277954424e-05; -0.004134713564061998; 3.0000000000000004e-08; -0.39472133600000003
500; 1111100; 7C; 124; 5; 1; 2.0005e-08; 1.6077931475000002e-05; -0.003822069173602764; 3.0000000000000004e-08; -0.40154500400000004
500; 1111101; 7D; 125; 6; 8; 2.0005e-08; -1.787376901e-05; -0.003672947567340263; 3.0000000000000004e-08; -0.400602162
500; 1111110; 7E; 126; 6; 6; 2.0005e-08; 1.8707140935e-05; -0.003739723488806733; 3.0000000000000004e-08; -0.3981954805
500; 1111111; 7F; 127; 7; 4; 2.0005e-08; -2.3261187035000002e-05; -0.0037266005208991073; 3.0000000000000004e-08; -0.399040334
500; 10000000; 80; 128; 1; 5; 2.0005e-08; -2.1241866885e-05; -0.004036480631142736; 3.0000000000000004e-08; -0.4058557525
500; 10000001; 81; 129; 2; 2; 2.0005e-08; -7.83714633e-06; -0.003943318998834988; 3.0000000000000004e-08; -0.4044426685
500; 1101; D; 13; 3; 6; 2.0005e-08; 1.5838808150000002e-06; -0.0037931140802502324; 3.0000000000000004e-08; -0.402854391
500; 10000010; 82; 130; 2; 3; 2.0005e-08; 1.4370966820000001e-05; -0.0038385169078058324; 3.0000000000000004e-08; -0.40128228
500; 10000011; 83; 131; 3; 5; 2.0005e-08; 2.600829135e-06; -0.00376706655310858; 3.0000000000000004e-08; -0.39764043950000005
500; 10000100; 84; 132; 2; 6; 2.0005e-08; -9.28560778e-06; -0.0039957780196144465; 3.0000000000000004e-08; -0.402235473
500; 10000101; 85; 133; 3; 5; 2.0005e-08; -2.2908401194999997e-05; -0.0038860952586983184; 3.0000000000000004e-08; -0.3996766005
500; 10000110; 86; 134; 3; 2; 2.00049703e-08; 3.311383261e-05; -0.00378654239912055; 3.0000000000000004e-08; -0.40007605199999996
500; 10000111; 87; 135; 4; 4; 2.0005e-08; -1.5094539645e-05; -0.0037235230744934633; 3.0000000000000004e-08; -0.3974394945
500; 10001000; 88; 136; 2; 3; 2.0005e-08; 1.810795072e-05; -0.00468312410808838; 3.0000000000000004e-08; -0.40201008400000005
500; 10001001; 89; 137; 3; 5; 2.0005e-08; -3.5117494485e-05; -0.0045141032409509434; 3.0000000000000004e-08; -0.39829597
500; 10001010; 8A; 138; 3; 6; 2.0005e-08; 1.2611938825e-05; -0.00422783426518971; 3.0000000000000004e-08; -0.4006733135
500; 10001011; 8B; 139; 4; 5; 2.0005e-08; -9.43284398e-06; -0.00422832272301285; 3.0000000000000004e-08; -0.3972995805
500; 1110; E; 14; 3; 5; 2.0005e-08; -4.200367516e-05; -0.0038353600314506506; 3.0000000000000004e-08; -0.3990966585
500; 10001100; 8C; 140; 3; 3; 2.0005e-08; -1.791218167e-05; -0.00395400828745304; 3.0000000000000004e-08; -0.40809916150000003
500; 10001101; 8D; 141; 4; 5; 2.0005e-08; -1.416259805e-05; -0.003763722834117576; 3.0000000000000004e-08; -0.405777181
500; 10001110; 8E; 142; 4; 3; 2.0005e-08; -1.83336141e-05; -0.003820182951632897; 3.0000000000000004e-08; -0.4022407645
500; 10001111; 8F; 143; 5; 5; 2.0005e-08; -5.2178382285e-05; -0.0037092246831628827; 3.0000000000000004e-08; -0.40331250249999995
500; 10010000; 90; 144; 2; 2; 2.0005e-08; 6.1900630150000004e-06; -0.004028590984738173; 3.0000000000000004e-08; -0.4019048435
500; 10010001; 91; 145; 3; 2; 2.0005e-08; -1.4883755620000001e-05; -0.0038837427635361427; 3.0000000000000004e-08; -0.4024410175
500; 10010010; 92; 146; 3; 5; 2.0005e-08; -1.646122907e-05; -0.0038592242072789124; 3.0000000000000004e-08; -0.3992242725
500; 10010011; 93; 147; 4; 5; 2.0005e-08; -3.937992345e-06; -0.0037872715060119095; 3.0000000000000004e-08; -0.3949536925
500; 10010100; 94; 148; 3; 2; 2.0003999650000002e-08; -1.859925305e-05; -0.003990284222400672; 3.0000000000000004e-08; -0.3994047585
500; 10010101; 95; 149; 4; 3; 2.0005e-08; -6.412441164999999e-06; -0.003814510732962202; 3.0000000000000004e-08; -0.3972062355
500; 1111; F; 15; 4; 5; 2.0005e-08; -9.935531785e-06; -0.003669271030544683; 3.0000000000000004e-08; -0.399635057
500; 10010110; 96; 150; 4; 2; 2.0005e-08; -2.1803488165e-05; -0.003796276363209487; 3.0000000000000004e-08; -0.3994856965
500; 10010111; 97; 151; 5; 2; 2.0001085e-08; -3.658586798e-05; -0.003790940177768433; 3.0000000000000004e-08; -0.3951575035
500; 10011000; 98; 152; 3; 3; 2.0005e-08; -2.893248629e-05; -0.004537317411918704; 3.0000000000000004e-08; -0.4003955775
500; 10011001; 99; 153; 4; 6; 2.0005e-08; 1.457623965e-06; -0.00437718115093348; 3.0000000000000004e-08; -0.396667931
500; 10011010; 9A; 154; 4; 4; 2.0005e-08; -7.8632588e-06; -0.0043396341206381455; 3.0000000000000004e-08; -0.398089111
500; 10011011; 9B; 155; 5; 2; 2.0005e-08; 8.157931330000001e-06; -0.004133814509600935; 3.0000000000000004e-08; -0.3965529995
500; 10011100; 9C; 156; 4; 6; 2.0005e-08; -3.5249042774999994e-05; -0.00401686235789501; 3.0000000000000004e-08; -0.4047979365
500; 10011101; 9D; 157; 5; 5; 2.0005e-08; -6.564209339999999e-06; -0.0038028159648223433; 3.0000000000000004e-08; -0.40397039749999997
500; 10011110; 9E; 158; 5; 3; 2.0005e-08; -3.2745308550000004e-06; -0.00390548856895426; 3.0000000000000004e-08; -0.398257411
500; 10011111; 9F; 159; 6; 6; 2.0005e-08; -5.829032249999999e-07; -0.0037676368774018252; 3.0000000000000004e-08; -0.4005061175
500; 10000; 10; 16; 1; 4; 2.0005e-08; 1.7752682675e-05; -0.0039553408108775855; 3.0000000000000004e-08; -0.401988723
500; 10100000; A0; 160; 2; 3; 2.0005e-08; 1.177259754e-05; -0.004048460757196121; 3.0000000000000004e-08; -0.4048819545
500; 10100001; A1; 161; 3; 3; 2.0005e-08; 2.7292121450000002e-05; -0.0038290478533968947; 3.0000000000000004e-08; -0.40503359250000004
500; 10100010; A2; 162; 3; 4; 2.0005e-08; 2.1756357e-06; -0.003875031629337641; 3.0000000000000004e-08; -0.403134575
500; 10100011; A3; 163; 4; 2; 2.0005e-08; -2.4539428865e-05; -0.003835621026985743; 3.0000000000000004e-08; -0.399351725
500; 10100100; A4; 164; 3; 3; 2.0005e-08; -9.912918014999999e-06; -0.003973337839735822; 3.0000000000000004e-08; -0.40144856900000003
500; 10100101; A5; 165; 4; 2; 2.0005e-08; -4.2949900855000004e-05; -0.003838248272453785; 3.0000000000000004e-08; -0.3996063325
500; 10100110; A6; 166; 4; 2; 2.0005e-08; 4.480217735e-06; -0.003756682971921816; 3.0000000000000004e-08; -0.4018213665
500; 10100111; A7; 167; 5; 4; 2.0005e-08; 2.214198573e-05; -0.003802936297789007; 3.0000000000000004e-08; -0.3984842925
500; 10101000; A8; 168; 3; 3; 2.0005e-08; 4.84314851e-06; -0.004450416884755992; 3.0000000000000004e-08; -0.40291369499999996
500; 10101001; A9; 169; 4; 5; 2.0005e-08; -4.1123188665e-05; -0.004328746405133708; 3.0000000000000004e-08; -0.399666606
500; 10001; 11; 17; 2; 2; 2.0005e-08; 1.2990186065e-05; -0.0038112153942846346; 3.0000000000000004e-08; -0.4012473955
