P [mW]; data_bin; data_hex; data_dec; hamming_in; hamming_out; time [ns]; I (static) [A]; I (dynamic) [A]; time [ns]; I (laser) [A]
200; 0; 0; 0; 0; 4; 2.00012291e-08; 4.2413599900000005e-06; -0.00359139585192681; 2.9996223700000006e-08; -2.16520366
200; 1; 1; 1; 1; 5; 2.00020446e-08; 7.23796029e-06; -0.0035912209157035646; 3.00094482e-08; -2.16451056
200; 1010; A; 10; 2; 5; 2.00006057e-08; 1.596667845e-05; -0.0035888757285901635; 2.999863465e-08; -2.165152125
200; 1100100; 64; 100; 3; 3; 2.00007295e-08; 1.389254035e-05; -0.0036020219835839894; 2.99965264e-08; -2.16553685
200; 1100101; 65; 101; 4; 4; 2.0002389450000002e-08; 2.16723529e-05; -0.003601370238140629; 2.999750675e-08; -2.1649212650000003
200; 1100110; 66; 102; 4; 4; 2.000192e-08; 1.1965690399999999e-05; -0.003598577924754181; 3.0005521600000004e-08; -2.16480277
200; 1100111; 67; 103; 5; 3; 2.00004845e-08; 1.105711535e-05; -0.003585150851045457; 3.000511535e-08; -2.164154345
200; 1101000; 68; 104; 3; 3; 2.0001500000000002e-08; 1.90196489e-05; -0.0035933893070711855; 3.000038995e-08; -2.165885185
200; 1101001; 69; 105; 4; 6; 2.000123875e-08; 1.98081581e-05; -0.003608890476665882; 2.999551835e-08; -2.16515811
200; 1101010; 6A; 106; 4; 1; 2.0000936e-08; 1.909730735e-05; -0.0035942821199482925; 2.9992778150000004e-08; -2.16520224
200; 1101011; 6B; 107; 5; 7; 2.0000541450000002e-08; 1.1291782924999999e-05; -0.0036197680815767694; 3.0007803899999995e-08; -2.1644553799999997
200; 1101100; 6C; 108; 4; 2; 2.000194035e-08; 2.03085406e-05; -0.0035967453614877036; 3.00010605e-08; -2.166238535
200; 1101101; 6D; 109; 5; 4; 2.0001500000000002e-08; 1.49988531e-05; -0.0035958980879926728; 3.0000940150000005e-08; -2.16557921
200; 1011; B; 11; 3; 4; 2.000085705e-08; 9.620070635e-06; -0.0036090075215097065; 3.00053053e-08; -2.16452779
200; 1101110; 6E; 110; 5; 6; 2.000092695e-08; -1.0450108199999999e-05; -0.0036235648323633806; 2.999750005e-08; -2.165504225
200; 1101111; 6F; 111; 6; 3; 2.0001074600000002e-08; 2.641879785e-05; -0.0036007927617743856; 2.99995614e-08; -2.16482368
200; 1110000; 70; 112; 3; 3; 2.000114405e-08; 1.6157976350000002e-05; -0.0036013876885997347; 3.000667255e-08; -2.164484845
200; 1110001; 71; 113; 4; 4; 2.00003848e-08; 1.3960448750000001e-05; -0.003595984680088458; 3.000069415e-08; -2.16376817
200; 1110010; 72; 114; 4; 1; 2.0002560000000003e-08; 8.92137075e-06; -0.0035836008438857505; 2.999100925e-08; -2.1637604550000002
200; 1110011; 73; 115; 5; 5; 2.000034335e-08; 8.621330944999999e-06; -0.0035901612588062873; 3.000811965e-08; -2.163015785
200; 1110100; 74; 116; 4; 3; 2.0000328e-08; 1.5373637750000003e-05; -0.0035880939858216948; 2.99977382e-08; -2.1648650700000003
200; 1110101; 75; 117; 5; 5; 2.0000890350000002e-08; 1.831128485e-05; -0.003579417006125799; 2.999538735e-08; -2.16411497
200; 1110110; 76; 118; 5; 3; 2.000098875e-08; 8.99839382e-06; -0.0035956597903996144; 3.0001753549999996e-08; -2.16415504
200; 1110111; 77; 119; 6; 6; 2.0001500000000002e-08; 1.207258785e-05; -0.003581250535553744; 3.000475885e-08; -2.1634314249999997
200; 1100; C; 12; 2; 7; 2.0001701550000003e-08; 3.6799855250000002e-06; -0.003600686717063871; 2.998484225e-08; -2.16625233
200; 1111000; 78; 120; 4; 5; 2.0001279999999998e-08; 3.48496394e-05; -0.003580275840477432; 3.000014955e-08; -2.16517157
200; 1111001; 79; 121; 5; 5; 2.00005e-08; 2.823179825e-05; -0.003576742318872699; 3.0010173799999995e-08; -2.164418895
200; 1111010; 7A; 122; 5; 5; 2.0000427500000003e-08; 1.950237255e-05; -0.003585708426885217; 2.99793705e-08; -2.16440412
200; 1111011; 7B; 123; 6; 2; 2.0001656e-08; 5.327406605e-06; -0.0035926414870162096; 3.0001095850000003e-08; -2.163771015
200; 1111100; 7C; 124; 5; 1; 2.0002385950000002e-08; 2.25834526e-05; -0.003575433447459606; 2.99981055e-08; -2.165530505
200; 1111101; 7D; 125; 6; 8; 2.0000989e-08; 4.432050104999999e-06; -0.0035957282473657575; 2.999336245e-08; -2.16471709
200; 1111110; 7E; 126; 6; 6; 2.00010768e-08; 2.69496682e-05; -0.0036112364285525566; 2.998601885e-08; -2.164879745
200; 1111111; 7F; 127; 7; 4; 2.00005e-08; 4.94008178e-06; -0.003585324644069327; 3.001693845e-08; -2.164101015
200; 10000000; 80; 128; 1; 5; 2.000180505e-08; 1.83110592e-05; -0.0036000152257400437; 3.000118285e-08; -2.1644204499999997
200; 10000001; 81; 129; 2; 2; 2.00000847e-08; 1.035747365e-05; -0.0035879222471360815; 3.000533885e-08; -2.163701195
200; 1101; D; 13; 3; 6; 2.000001455e-08; 2.998361655e-06; -0.0036009009903134894; 2.9997417449999995e-08; -2.16550121
200; 10000010; 82; 130; 2; 3; 2.000074455e-08; 3.3322905900000002e-06; -0.0035883387127517655; 2.9980130500000005e-08; -2.1637491449999997
200; 10000011; 83; 131; 3; 5; 2.00005e-08; 6.9170774900000005e-06; -0.0035975635730442703; 3.00074407e-08; -2.1629253100000003
200; 10000100; 84; 132; 2; 6; 2.0001500000000002e-08; 2.087031545e-05; -0.003592290368264576; 2.999260185e-08; -2.16485549
200; 10000101; 85; 133; 3; 5; 2.0000161749999998e-08; 1.80874981e-05; -0.0035871247873822017; 2.999217675e-08; -2.1641029300000003
200; 10000110; 86; 134; 3; 2; 2.000044825e-08; 1.0047377600000001e-05; -0.003584126333989427; 3.000132455e-08; -2.16416132
200; 10000111; 87; 135; 4; 4; 2.00001617e-08; -5.999351675e-06; -0.0035694756127520135; 3.00080574e-08; -2.16344492
200; 10001000; 88; 136; 2; 3; 2.000225535e-08; -1.9355676e-06; -0.003580871045257179; 2.99991128e-08; -2.16515613
200; 10001001; 89; 137; 3; 5; 2.000213105e-08; 1.0121344499999998e-06; -0.0035881075577002364; 3.00087876e-08; -2.16442144
200; 10001010; 8A; 138; 3; 6; 2.0001075800000003e-08; 1.733434705e-05; -0.0035942376415256743; 3.0002750450000005e-08; -2.164467
200; 10001011; 8B; 139; 4; 5; 2.000100285e-08; 3.77547266e-05; -0.003612286007629227; 3.0005880599999996e-08; -2.163717605
200; 1110; E; 14; 3; 5; 2.00005e-08; 2.3679226499999998e-05; -0.003618177690376703; 3.0017377099999996e-08; -2.16551474
200; 10001100; 8C; 140; 3; 3; 2.00014622e-08; 1.82293949e-05; -0.0035830692829215386; 2.99985752e-08; -2.1656330099999996
200; 10001101; 8D; 141; 4; 5; 2.000142515e-08; 1.4007718950000001e-05; -0.003585710852004734; 3.000996015e-08; -2.1648822049999996
200; 10001110; 8E; 142; 4; 3; 2.00005e-08; -2.805078425e-06; -0.003601103991940935; 2.999834435e-08; -2.164879475
200; 10001111; 8F; 143; 5; 5; 2.000007585e-08; 1.21432315e-05; -0.0035846078135098793; 3.00056987e-08; -2.16419357
200; 10010000; 90; 144; 2; 2; 2.0003499999999998e-08; 2.19610264e-05; -0.0035876438486900967; 2.99981013e-08; -2.16377852
200; 10010001; 91; 145; 3; 2; 2.00005e-08; 1.1812528999999998e-05; -0.003600711127719567; 2.99993774e-08; -2.1630184650000004
200; 10010010; 92; 146; 3; 5; 2.0001500000000002e-08; 1.11735968e-05; -0.003587083065974686; 2.99981078e-08; -2.163053635
200; 10010011; 93; 147; 4; 5; 2.000032e-08; 3.1304262200000004e-05; -0.003595825214676498; 3.00004215e-08; -2.16229589
200; 10010100; 94; 148; 3; 2; 2.0001500000000002e-08; 2.0735215200000002e-05; -0.00358043150220618; 3.0006956299999996e-08; -2.1641114100000003
200; 10010101; 95; 149; 4; 3; 2.00012973e-08; 2.0007658899999998e-05; -0.003578046868655576; 2.99964008e-08; -2.163410765
200; 1111; F; 15; 4; 5; 2.00007059e-08; 2.290100695e-05; -0.0035814908639982376; 3.00043265e-08; -2.16484443
200; 10010110; 96; 150; 4; 2; 2.000033185e-08; 1.094541085e-06; -0.0035881927006278635; 3.00094165e-08; -2.163419565
200; 10010111; 97; 151; 5; 2; 2.000104885e-08; 1.4082391e-05; -0.003579128581320275; 2.99972438e-08; -2.16280871
200; 10011001; 99; 153; 4; 6; 2.00020945e-08; 8.311205645e-06; -0.003586249116743439; 2.99947526e-08; -2.16372556
200; 10011011; 9B; 155; 5; 2; 2.0001500000000002e-08; 9.19440288e-06; -0.0035776652815105573; 2.99967534e-08; -2.1630363150000003
200; 10011100; 9C; 156; 4; 6; 2.00007869e-08; 3.0665488200000004e-05; -0.0035809520343309015; 3.00005549e-08; -2.164681795
200; 10011101; 9D; 157; 5; 5; 2.0001500000000002e-08; -4.7115610999999996e-07; -0.0035771266438359077; 3.00031777e-08; -2.164132225
200; 10011110; 9E; 158; 5; 3; 2.00005e-08; 1.07289951e-05; -0.00359784615930275; 3.000004245e-08; -2.164050885
