P [mW]; data_bin; data_hex; data_dec; hamming_in; hamming_out; time [ns]; I (static) [A]; I (dynamic) [A]; time [ns]; I (laser) [A]
50; 0; 0; 0; 0; 4; 2.00011498e-08; -1.265504579e-05; -0.004042132700038242; 3.0000000000000004e-08; -0.0390444288
50; 1; 1; 1; 1; 5; 2.0005e-08; 2.7456543209999998e-05; -0.003920696989974417; 3.0000000000000004e-08; -0.03917872705
50; 1010; A; 10; 2; 5; 2.0005e-08; -1.2826236475e-05; -0.0041655149677520655; 3.0000000000000004e-08; -0.03908857105
50; 1100100; 64; 100; 3; 3; 2.0005e-08; -3.9018371579999996e-05; -0.003978337030610855; 3.0000000000000004e-08; -0.0390432322
50; 1100101; 65; 101; 4; 4; 2.0005e-08; 3.1131119405000004e-05; -0.0038143975350798135; 3.0000000000000004e-08; -0.038960166399999996
50; 1100110; 66; 102; 4; 4; 2.0005e-08; 2.5032051425e-05; -0.003750718901338955; 3.0000000000000004e-08; -0.039054960900000005
50; 1100111; 67; 103; 5; 3; 2.0005e-08; -3.4026924115e-05; -0.0038380771368535698; 3.0000000000000004e-08; -0.03904709185
50; 1101000; 68; 104; 3; 3; 2.0005e-08; 2.155519495e-06; -0.004435907000421769; 3.0000000000000004e-08; -0.039057268150000005
50; 1101001; 69; 105; 4; 6; 2.0005e-08; 8.22378750000001e-08; -0.004398643629957375; 3.0000000000000004e-08; -0.03898429975
50; 1101010; 6A; 106; 4; 1; 2.0005e-08; 1.73481965e-06; -0.004072496214636443; 3.0000000000000004e-08; -0.03906045255
50; 1101011; 6B; 107; 5; 7; 2.0005e-08; -1.505932234e-06; -0.004037115411311299; 3.0000000000000004e-08; -0.0391024186
50; 1101100; 6C; 108; 4; 2; 2.0005e-08; -9.7450819e-06; -0.0038891655495731435; 3.0000000000000004e-08; -0.03927985025
50; 1011; B; 11; 3; 4; 2.0005e-08; -3.73195974e-06; -0.004143797074653505; 3.0000000000000004e-08; -0.03898247315
50; 1101110; 6E; 110; 5; 6; 2.0005e-08; -9.579827079999998e-06; -0.0036965493314014847; 3.0000000000000004e-08; -0.0390969332
50; 1101111; 6F; 111; 6; 3; 2.0005e-08; 1.5615928060000003e-05; -0.003663124774830767; 3.0000000000000004e-08; -0.039216600899999995
50; 1110000; 70; 112; 3; 3; 2.0005e-08; -8.787329769999999e-06; -0.003931602882264215; 3.0000000000000004e-08; -0.039041909550000004
50; 1110001; 71; 113; 4; 4; 2.0005e-08; 3.2369482599999996e-06; -0.003792854619333639; 3.0000000000000004e-08; -0.0390004974
50; 1110010; 72; 114; 4; 1; 2.0005e-08; 5.410735165e-06; -0.003859410343355309; 3.0000000000000004e-08; -0.03889054045
50; 1110011; 73; 115; 5; 5; 2.0005e-08; -2.857665927e-05; -0.00373753519159992; 3.0000000000000004e-08; -0.038824803399999996
50; 1110100; 74; 116; 4; 3; 2.0005e-08; 4.424707305000001e-06; -0.003907165032503958; 3.0000000000000004e-08; -0.038988854399999995
50; 1110101; 75; 117; 5; 5; 2.0005e-08; -2.397342566e-05; -0.003820788500596083; 3.0000000000000004e-08; -0.03881163755
50; 1110110; 76; 118; 5; 3; 2.0005e-08; -3.6424393005e-05; -0.0037831496779819895; 3.0000000000000004e-08; -0.038848146
50; 1110111; 77; 119; 6; 6; 2.0005e-08; 4.0229935185e-05; -0.00378877500205087; 3.0000000000000004e-08; -0.038858315500000004
50; 1100; C; 12; 2; 7; 2.0005e-08; -1.663849729e-06; -0.003894751061433423; 3.0000000000000004e-08; -0.03917554395
50; 1111000; 78; 120; 4; 5; 2.0005e-08; -6.870381279999999e-06; -0.004328679802599117; 3.0000000000000004e-08; -0.03892547725
50; 1111001; 79; 121; 5; 5; 2.0005e-08; -3.603374501e-05; -0.004302455906260439; 3.0000000000000004e-08; -0.03882331805
50; 1111010; 7A; 122; 5; 5; 2.0005e-08; 6.501984575e-06; -0.004176637234659631; 3.0000000000000004e-08; -0.03891184390000001
50; 1111011; 7B; 123; 6; 2; 2.0005e-08; 2.3826227774999998e-05; -0.00413368578746905; 3.0000000000000004e-08; -0.03890339305
50; 1111100; 7C; 124; 5; 1; 2.0005e-08; 1.7110133735e-05; -0.0038210422748817976; 3.0000000000000004e-08; -0.0391322544
50; 1111101; 7D; 125; 6; 8; 2.0005e-08; -1.6848690975e-05; -0.003671920840197782; 3.0000000000000004e-08; -0.039086141399999996
50; 1111110; 7E; 126; 6; 6; 2.0005e-08; 1.9737758290000003e-05; -0.003738696095375765; 3.0000000000000004e-08; -0.03884978755
50; 1111111; 7F; 127; 7; 4; 2.0005e-08; -2.2230925859999998e-05; -0.0037255732656007266; 3.0000000000000004e-08; -0.0389991938
50; 10000000; 80; 128; 1; 5; 2.0005e-08; -2.0208889415e-05; -0.00403545344140468; 3.0000000000000004e-08; -0.0391189654
50; 10000001; 81; 129; 2; 2; 2.0005e-08; -6.809091825e-06; -0.003942291975065326; 3.0000000000000004e-08; -0.03920382175
50; 1101; D; 13; 3; 6; 2.0005e-08; -1.3320574999999931e-08; -0.003792574517102786; 3.0000000000000004e-08; -0.0392099539
50; 10000010; 82; 130; 2; 3; 2.0005e-08; 1.5401994115e-05; -0.003837489365967563; 3.0000000000000004e-08; -0.03920799265
50; 10000011; 83; 131; 3; 5; 2.0005e-08; 3.6374602800000002e-06; -0.003766038903629356; 3.0000000000000004e-08; -0.039097783750000004
50; 10000100; 84; 132; 2; 6; 2.0005e-08; -8.253634845e-06; -0.003994750809429159; 3.0000000000000004e-08; -0.0391281124
50; 10000101; 85; 133; 3; 5; 2.0005e-08; -2.187884174e-05; -0.0038850680325810127; 3.0000000000000004e-08; -0.039101609300000006
50; 10000110; 86; 134; 3; 2; 2.00049745e-08; 3.4146961984999995e-05; -0.00378551300782556; 3.0000000000000004e-08; -0.0391799377
50; 10000111; 87; 135; 4; 4; 2.0005e-08; -1.406174408e-05; -0.0037224958441321844; 3.0000000000000004e-08; -0.03915117555
50; 10001000; 88; 136; 2; 3; 2.0005e-08; 1.9139681850000002e-05; -0.0046820969494620205; 3.0000000000000004e-08; -0.0390571
50; 10001001; 89; 137; 3; 5; 2.0005e-08; -3.408555053e-05; -0.004513076203545392; 3.0000000000000004e-08; -0.0390810518
50; 10001010; 8A; 138; 3; 6; 2.0005e-08; 1.3639740725000001e-05; -0.004226806643527763; 3.0000000000000004e-08; -0.03915876365
50; 10001011; 8B; 139; 4; 5; 2.0005e-08; -8.400023374999999e-06; -0.00422729559878826; 3.0000000000000004e-08; -0.039141405500000004
50; 1110; E; 14; 3; 5; 2.0005e-08; -4.0977558435e-05; -0.0038343326446564066; 3.0000000000000004e-08; -0.039132193149999994
50; 10001100; 8C; 140; 3; 3; 2.0005e-08; -1.548665998e-05; -0.003952962648262531; 3.0000000000000004e-08; -0.03932498585
50; 10001101; 8D; 141; 4; 5; 2.0005e-08; 4.0044471949999995e-06; -0.0037629014791492714; 3.0000000000000004e-08; -0.03936292315
50; 10001110; 8E; 142; 4; 3; 2.0005e-08; -1.728551173e-05; -0.0038191542005225356; 3.0000000000000004e-08; -0.0392196238
50; 10001111; 8F; 143; 5; 5; 2.0005e-08; -5.113996258e-05; -0.003708197097633335; 3.0000000000000004e-08; -0.039310380150000004
50; 10010000; 90; 144; 2; 2; 2.0005e-08; 7.21938489e-06; -0.004027564016560081; 3.0000000000000004e-08; -0.0390234793
50; 10010001; 91; 145; 3; 2; 2.0005e-08; -1.38533229e-05; -0.0038827156419306715; 3.0000000000000004e-08; -0.03903183285
50; 10010010; 92; 146; 3; 5; 2.0005e-08; -1.5428048885e-05; -0.0038581968166485113; 3.0000000000000004e-08; -0.0390028977
50; 10010011; 93; 147; 4; 5; 2.0005e-08; -2.902849705e-06; -0.0037862448650735044; 3.0000000000000004e-08; -0.03895612015
50; 10010100; 94; 148; 3; 2; 2.0003999599999998e-08; -1.756317399e-05; -0.003989257169510784; 3.0000000000000004e-08; -0.039036821900000004
50; 10010101; 95; 149; 4; 3; 2.0005e-08; -5.38804761e-06; -0.003813483993339831; 3.0000000000000004e-08; -0.03897039895
50; 1111; F; 15; 4; 5; 2.0005e-08; -8.907799605e-06; -0.003668244061603719; 3.0000000000000004e-08; -0.03917607705
50; 10010110; 96; 150; 4; 2; 2.0005e-08; -2.077201601e-05; -0.0037952493607574756; 3.0000000000000004e-08; -0.039032414599999996
50; 10010111; 97; 151; 5; 2; 2.000108355e-08; -3.5547678085e-05; -0.0037899141741051245; 3.0000000000000004e-08; -0.03899706185
50; 10011000; 98; 152; 3; 3; 2.0005e-08; -2.7905290615e-05; -0.004536290314738365; 3.0000000000000004e-08; -0.03881735365
50; 10011001; 99; 153; 4; 6; 2.0005e-08; 2.5090826049999997e-06; -0.004376155802902399; 3.0000000000000004e-08; -0.03881612545
50; 10011010; 9A; 154; 4; 4; 2.0005e-08; -6.823892915e-06; -0.004338606548567881; 3.0000000000000004e-08; -0.03895006215
50; 10011011; 9B; 155; 5; 2; 2.0005e-08; 9.189968955e-06; -0.004132787009014135; 3.0000000000000004e-08; -0.038900971300000003
50; 10011100; 9C; 156; 4; 6; 2.0005e-08; -3.4223875005e-05; -0.004015835376869494; 3.0000000000000004e-08; -0.039095625950000004
50; 10011101; 9D; 157; 5; 5; 2.0005e-08; -5.527878445e-06; -0.0038017887635649126; 3.0000000000000004e-08; -0.0391185068
50; 10011110; 9E; 158; 5; 3; 2.0005e-08; -2.24363782e-06; -0.0039044611016410473; 3.0000000000000004e-08; -0.03898222245
50; 10011111; 9F; 159; 6; 6; 2.0005e-08; 4.5513956999999985e-07; -0.00376660972582073; 3.0000000000000004e-08; -0.039125903850000004
50; 10000; 10; 16; 1; 4; 2.0005e-08; 1.878948126e-05; -0.003954313426148524; 3.0000000000000004e-08; -0.039032752000000004
50; 10100000; A0; 160; 2; 3; 2.0005e-08; 1.279862748e-05; -0.0040474336935527825; 3.0000000000000004e-08; -0.0390797826
50; 10100001; A1; 161; 3; 3; 2.0005e-08; 2.832731151e-05; -0.003828021007708199; 3.0000000000000004e-08; -0.03918537935
50; 10100010; A2; 162; 3; 4; 2.0005e-08; 3.2085352999999996e-06; -0.0038740041806632703; 3.0000000000000004e-08; -0.0391136038
50; 10100011; A3; 163; 4; 2; 2.0005e-08; -2.3482996320000002e-05; -0.0038345934630558713; 3.0000000000000004e-08; -0.03901429665
50; 10100100; A4; 164; 3; 3; 2.0005e-08; -8.88225645e-06; -0.003972310930654066; 3.0000000000000004e-08; -0.0390916512
50; 10100101; A5; 165; 4; 2; 2.0005e-08; -4.191373511e-05; -0.0038372211714853654; 3.0000000000000004e-08; -0.039018263649999996
50; 10100110; A6; 166; 4; 2; 2.0005e-08; 5.516455770000001e-06; -0.00375565584738582; 3.0000000000000004e-08; -0.03912852635
50; 10100111; A7; 167; 5; 4; 2.0005e-08; 2.31713716e-05; -0.0038019096324305463; 3.0000000000000004e-08; -0.0390902092
50; 10101000; A8; 168; 3; 3; 2.0005e-08; 5.876053045e-06; -0.004449389717731036; 3.0000000000000004e-08; -0.03904688655
50; 10101001; A9; 169; 4; 5; 2.0005e-08; -4.0089856365e-05; -0.004327719716408525; 3.0000000000000004e-08; -0.03892041165
50; 10001; 11; 17; 2; 2; 2.0005e-08; 1.401394628e-05; -0.0038101883104790743; 3.0000000000000004e-08; -0.0390745378
50; 10101010; AA; 170; 4; 4; 2.0005e-08; 7.548270095e-06; -0.004120028324752419; 3.0000000000000004e-08; -0.039048552949999996
50; 10101011; AB; 171; 5; 3; 2.0005e-08; 2.024407708e-05; -0.004029041828638504; 3.0000000000000004e-08; -0.03907665635
50; 10101100; AC; 172; 4; 3; 2.0005e-08; -8.861214404999999e-06; -0.003979144780381373; 3.0000000000000004e-08; -0.03929461775
50; 10101101; AD; 173; 5; 4; 2.0005e-08; 6.42183195e-06; -0.0037614708065479845; 3.0000000000000004e-08; -0.0392741744
50; 10101110; AE; 174; 5; 4; 2.0005e-08; 4.61894572e-06; -0.003817354010023905; 3.0000000000000004e-08; -0.03913403135
50; 10101111; AF; 175; 6; 5; 2.0005e-08; -1.607331264e-05; -0.003684880753362853; 3.0000000000000004e-08; -0.0392684825
50; 10110000; B0; 176; 3; 6; 2.0005e-08; -1.7795022815000003e-05; -0.003990919256702522; 3.0000000000000004e-08; -0.0391521869
50; 10110001; B1; 177; 4; 3; 2.0005e-08; 3.6288532645e-05; -0.0038562387757322624; 3.0000000000000004e-08; -0.03918830875
50; 10110010; B2; 178; 4; 5; 2.0005e-08; -7.647042845e-06; -0.0038527652585166237; 3.0000000000000004e-08; -0.0390858603
50; 10110011; B3; 179; 5; 5; 2.0005e-08; -2.0398725165e-05; -0.0037763836313388973; 3.0000000000000004e-08; -0.03901937805
50; 10010; 12; 18; 2; 4; 2.0005e-08; -3.0569604865000004e-05; -0.003788874327730926; 3.0000000000000004e-08; -0.039011505249999995
50; 10110100; B4; 180; 4; 4; 2.0005e-08; -2.3369911535e-05; -0.00394683632373254; 3.0000000000000004e-08; -0.03917205445
50; 10110101; B5; 181; 5; 5; 2.0005e-08; 3.0059962685e-05; -0.003806586815744415; 3.0000000000000004e-08; -0.039059019099999995
50; 10110110; B6; 182; 5; 4; 2.0005e-08; 1.0953622215e-05; -0.003740266620871139; 3.0000000000000004e-08; -0.039066627849999994
50; 10110111; B7; 183; 6; 4; 2.0005e-08; 5.413219977e-05; -0.0037658573297637923; 3.0000000000000004e-08; -0.039112916750000004
50; 10111000; B8; 184; 4; 4; 2.0005e-08; -1.0200531745e-05; -0.004410933770059188; 3.0000000000000004e-08; -0.039058261950000006
50; 10111001; B9; 185; 5; 4; 2.0005e-08; -3.4250494535e-05; -0.004382550946192818; 3.0000000000000004e-08; -0.0390279281
50; 10111010; BA; 186; 5; 5; 2.0005e-08; 4.08189976e-06; -0.004181011091766491; 3.0000000000000004e-08; -0.0390898661
50; 10111011; BB; 187; 6; 5; 2.0005e-08; -2.2687386705e-05; -0.004166720518152054; 3.0000000000000004e-08; -0.03911432965
50; 10111100; BC; 188; 5; 4; 2.0005e-08; 2.516898528e-05; -0.003904946309979105; 3.0000000000000004e-08; -0.039234035449999996
50; 10111101; BD; 189; 6; 5; 2.0005e-08; -3.46327349e-05; -0.003773109328754184; 3.0000000000000004e-08; -0.039322229449999996
50; 10011; 13; 19; 3; 6; 2.0005e-08; -5.4086192450000004e-06; -0.003655756987078225; 3.0000000000000004e-08; -0.03892677135
50; 10111110; BE; 190; 6; 5; 2.0005e-08; -7.251914685e-06; -0.0037984121423350653; 3.0000000000000004e-08; -0.03904576355
50; 10111111; BF; 191; 7; 1; 2.0005e-08; 6.668587735000001e-06; -0.0037373108700492776; 3.0000000000000004e-08; -0.0392366833
50; 11000000; C0; 192; 2; 5; 2.0005e-08; -2.445685881e-05; -0.004033399061673479; 3.0000000000000004e-08; -0.03916611015
50; 11000001; C1; 193; 3; 4; 2.0005e-08; 2.340185235e-06; -0.003910229363249993; 3.0000000000000004e-08; -0.03922613185
50; 11000010; C2; 194; 3; 3; 2.0005e-08; -4.5062161925e-05; -0.003850016113557056; 3.0000000000000004e-08; -0.03917255185
50; 11000011; C3; 195; 4; 4; 2.0005e-08; -2.6417490195e-05; -0.0037290767708433262; 3.0000000000000004e-08; -0.0390564288
