P [mW]; data_bin; data_hex; data_dec; hamming_in; hamming_out; time [ns]; I (static) [A]; I (dynamic) [A]; time [ns]; I (laser) [A]
500; 1100110; 66; 102; 4; 4; 2.00012093e-08; 1.49320623e-05; -0.0036015674610518607; 2.9998130400000004e-08; -2.43782246
500; 1101011; 6B; 107; 5; 7; 2.00005415e-08; 1.584388205e-05; -0.0036193436089234595; 2.9998916399999996e-08; -2.437412875
500; 1101100; 6C; 108; 4; 2; 2.0002047999999998e-08; 2.387512015e-05; -0.0035873975749523067; 2.9995524749999996e-08; -2.43947709
500; 1011; B; 11; 3; 4; 2.00008571e-08; 1.1819992554999999e-05; -0.003614920025265234; 2.99999392e-08; -2.437419155
500; 1110010; 72; 114; 4; 1; 2.00005e-08; 1.255849645e-05; -0.003584613385071201; 2.999956215e-08; -2.436594275
500; 1111011; 7B; 123; 6; 2; 2.000177665e-08; 8.70956819e-06; -0.0035913754583405894; 2.999553765e-08; -2.43659394
500; 10001111; 8F; 143; 5; 5; 2.00008052e-08; 4.1349666399999995e-06; -0.0035846211147648297; 2.999970195e-08; -2.43700146
500; 10010000; 90; 144; 2; 2; 2.0003072e-08; 2.5009220200000002e-05; -0.003588464949333546; 2.99965663e-08; -2.4366012
500; 10010101; 95; 149; 4; 3; 2.0000416449999998e-08; 2.284011495e-05; -0.0035815149492070997; 3.000213715e-08; -2.4361885250000004
500; 1111; F; 15; 4; 5; 2.00005e-08; 2.93354028e-05; -0.003579013044811184; 3.00005769e-08; -2.4378241999999997
500; 10010110; 96; 150; 4; 2; 2.00032e-08; 4.001053425e-06; -0.0035914562406555075; 2.999564385e-08; -2.43617698
500; 10010111; 97; 151; 5; 2; 2.0000676300000003e-08; 1.71822108e-05; -0.0035669954361164024; 3.00012452e-08; -2.4353545
500; 10011000; 98; 152; 3; 3; 2.000101955e-08; 2.5719177850000002e-05; -0.0035609474321215326; 3.000105175e-08; -2.437422455
500; 10011001; 99; 153; 4; 6; 2.000195055e-08; 1.098741645e-05; -0.003583847879720567; 2.9999986850000004e-08; -2.4366040499999997
500; 10011010; 9A; 154; 4; 4; 2.000224e-08; 1.0817259849999999e-05; -0.003594022243150626; 3.000399295e-08; -2.43659516
500; 10011100; 9C; 156; 4; 6; 2.0001500000000002e-08; 3.394251995e-05; -0.003580482756306851; 3.0000072450000005e-08; -2.437825665
500; 10011101; 9D; 157; 5; 5; 2.0005e-08; 9.572099295e-06; -0.0035734693366620963; 3.0000311499999996e-08; -2.4370086950000003
500; 10011110; 9E; 158; 5; 3; 2.000105e-08; 1.3552885450000002e-05; -0.0036053030131182767; 3.00043405e-08; -2.43700107
500; 10011111; 9F; 159; 6; 6; 2.000105e-08; 1.69795387e-05; -0.0035894056518104606; 2.999793695e-08; -2.43618405
500; 10100110; A6; 166; 4; 2; 2.0000256000000003e-08; -9.267702000000001e-07; -0.0035990978549774273; 2.999717685e-08; -2.43659151
500; 10100111; A7; 167; 5; 4; 2.000035e-08; -4.2571135050000005e-06; -0.0035903253026489564; 3.000117895e-08; -2.4357621949999997
500; 10001; 11; 17; 2; 2; 2.000259895e-08; 1.697098225e-05; -0.0035903530115558766; 3.000463655e-08; -2.43659639
500; 10101011; AB; 171; 5; 3; 2.00004286e-08; 3.692103635e-06; -0.003590625733512896; 2.999737715e-08; -2.43618226
500; 10101111; AF; 175; 6; 5; 2.000064695e-08; 1.8649854600000003e-05; -0.00359787553584989; 3.000047555e-08; -2.43658738
500; 10010; 12; 18; 2; 4; 2.0001500000000002e-08; 2.580098565e-05; -0.003590387570182321; 2.999744715e-08; -2.43658583
500; 10110100; B4; 180; 4; 4; 2.000243015e-08; 1.035733665e-05; -0.003593881976733002; 3.00001289e-08; -2.43659895
500; 10100; 14; 20; 2; 6; 2.000318985e-08; 1.40810139e-05; -0.0035992015040434457; 2.9996089000000005e-08; -2.43783074
500; 11001100; CC; 204; 4; 4; 2.0000015800000002e-08; 2.313043015e-05; -0.003593614429104026; 2.9998400299999995e-08; -2.43905991
500; 10101; 15; 21; 3; 4; 2.0002560000000003e-08; 8.916627205e-06; -0.003599900453314634; 2.99966608e-08; -2.4370101249999996
500; 11010010; D2; 210; 4; 5; 2.0001044349999998e-08; 6.747047015e-06; -0.003598269640308245; 3.000256745e-08; -2.436178725
500; 10110; 16; 22; 3; 4; 2.000335545e-08; 1.22991608e-05; -0.003595172475530388; 3.00026698e-08; -2.43699947
500; 11100000; E0; 224; 3; 4; 2.00003653e-08; 1.96159432e-05; -0.0035951346279769875; 2.9996699e-08; -2.43742069
500; 10111; 17; 23; 4; 4; 2.00032e-08; 2.2725292550000003e-05; -0.003582039806230432; 2.99978937e-08; -2.436172415
500; 11101100; EC; 236; 5; 5; 2.0001500000000002e-08; -2.83811259e-06; -0.0035860033438693804; 2.9996725799999996e-08; -2.4386515949999996
500; 11110101; F5; 245; 6; 5; 2.0000919600000002e-08; 5.842190805e-06; -0.003590657414850857; 2.99978405e-08; -2.4361870850000003
500; 11010; 1A; 26; 3; 3; 2.000035e-08; 6.861896835e-06; -0.003582629470437506; 3.00001767e-08; -2.43741693
500; 11011; 1B; 27; 4; 6; 2.000019095e-08; 9.065149945e-06; -0.0035928984323093014; 2.999984315e-08; -2.43658965
500; 11; 3; 3; 2; 6; 2.0002236e-08; 1.31997836e-05; -0.003612559305122514; 2.999564175e-08; -2.43659041
500; 11110; 1E; 30; 4; 4; 2.00003127e-08; 2.509985415e-05; -0.0035978929907919486; 2.99996342e-08; -2.43782582
500; 11111; 1F; 31; 5; 2; 2.000192985e-08; 2.3458161350000002e-05; -0.0035744009672527715; 3.0000822549999994e-08; -2.43699973
500; 100100; 24; 36; 2; 4; 2.00009454e-08; 9.44736484e-06; -0.0035907265734314974; 2.99998664e-08; -2.43823867
500; 100; 4; 4; 1; 5; 2.0002560000000003e-08; 2.904863335e-06; -0.0036011402191104647; 2.9999104650000004e-08; -2.43864576
