P [mW]; data_bin; data_hex; data_dec; hamming_in; hamming_out; time [ns]; I (static) [A]; I (dynamic) [A]; time [ns]; I (laser) [A]
400; 0; 0; 0; 0; 4; 2.0005e-08; -4.239607530000001e-06; -0.0037134818924021624; 3.0000000000000004e-08; -0.29539007100000003
400; 1; 1; 1; 1; 5; 2.0005e-08; 3.1939004e-06; -0.003729303490160056; 3.0000000000000004e-08; -0.2980061355
400; 1010; A; 10; 2; 5; 2.0005e-08; 1.171710596e-05; -0.0037316333800838258; 3.0000000000000004e-08; -0.29880724700000005
400; 1100100; 64; 100; 3; 3; 2.0005e-08; 1.0243321649999998e-06; -0.0037179704101963987; 3.0000000000000004e-08; -0.296178316
400; 1100101; 65; 101; 4; 4; 2.0005e-08; 1.006153204e-05; -0.003728632626804268; 3.0000000000000004e-08; -0.2976778065
400; 1100110; 66; 102; 4; 4; 2.0005e-08; 2.5643536200000003e-06; -0.0037161920145431975; 3.0000000000000004e-08; -0.29713394449999997
400; 1100111; 67; 103; 5; 3; 2.0005e-08; -3.3021127499999996e-06; -0.0037199490785280436; 3.0000000000000004e-08; -0.296702877
400; 1101000; 68; 104; 3; 3; 2.0005e-08; 1.3398592295e-05; -0.003732428881884759; 3.0000000000000004e-08; -0.295957113
400; 1101001; 69; 105; 4; 6; 2.0005e-08; -2.8640284090000002e-05; -0.003738863586174492; 3.0000000000000004e-08; -0.29754193250000005
400; 1101010; 6A; 106; 4; 1; 2.0005e-08; 7.093944305e-06; -0.003719513188023246; 3.0000000000000004e-08; -0.29590499299999995
400; 1101011; 6B; 107; 5; 7; 2.0005e-08; 5.736628965e-06; -0.0037453533122066953; 3.0000000000000004e-08; -0.29914364299999996
400; 1101100; 6C; 108; 4; 2; 2.0005e-08; -1.712261427e-05; -0.0037389149141905465; 3.0000000000000004e-08; -0.2967144615
400; 1101101; 6D; 109; 5; 4; 2.0005e-08; 2.82405167e-05; -0.0037517423248308304; 3.0000000000000004e-08; -0.29821711250000005
400; 1011; B; 11; 3; 4; 2.0005e-08; 1.1696573095e-05; -0.003751780965076922; 3.0000000000000004e-08; -0.29798177449999996
400; 1101110; 6E; 110; 5; 6; 2.0005e-08; 1.2371037074999999e-05; -0.0037452979552168937; 3.0000000000000004e-08; -0.2991284685
400; 1101111; 6F; 111; 6; 3; 2.0005e-08; -1.3669286425e-05; -0.0037353119390617605; 3.0000000000000004e-08; -0.29700430099999997
400; 1110000; 70; 112; 3; 3; 2.0005e-08; -1.9727596535000002e-05; -0.0037316076536411105; 3.0000000000000004e-08; -0.29626011900000004
400; 1110001; 71; 113; 4; 4; 2.0005e-08; -2.0756968725e-05; -0.003729302504830069; 3.0000000000000004e-08; -0.2968553125
400; 1110010; 72; 114; 4; 1; 2.0005e-08; -2.103432085e-05; -0.0037176194207938183; 3.0000000000000004e-08; -0.29510280499999997
400; 1110011; 73; 115; 5; 5; 2.0005e-08; -1.8904653545e-05; -0.0037706732999661942; 3.0000000000000004e-08; -0.2985458625
400; 1110100; 74; 116; 4; 3; 2.0005e-08; 5.3655001e-06; -0.003730274500256478; 3.0000000000000004e-08; -0.2959552305
400; 1110101; 75; 117; 5; 5; 2.0005e-08; -2.5996453150000002e-06; -0.003734659826144353; 3.0000000000000004e-08; -0.2973593415
400; 1110110; 76; 118; 5; 3; 2.0005e-08; -7.572080339999999e-06; -0.003729772086773187; 3.0000000000000004e-08; -0.29653341099999997
400; 1110111; 77; 119; 6; 6; 2.0005e-08; 5.983243339999999e-06; -0.0037267397649413743; 3.0000000000000004e-08; -0.29759717399999996
400; 1100; C; 12; 2; 7; 2.0005e-08; 1.928374216e-06; -0.0037455959454929764; 3.0000000000000004e-08; -0.2988391535
400; 1111000; 78; 120; 4; 5; 2.0005e-08; -2.6477292545e-05; -0.003745315288128081; 3.0000000000000004e-08; -0.2972592805
400; 1111001; 79; 121; 5; 5; 2.0001883349999998e-08; -1.2302653449999999e-05; -0.003743992543217; 3.0000000000000004e-08; -0.2972614125
400; 1111010; 7A; 122; 5; 5; 2.0005e-08; 1.061844362e-05; -0.0037330456969975187; 3.0000000000000004e-08; -0.297832358
400; 1111011; 7B; 123; 6; 2; 2.0005e-08; -4.5460192594999995e-05; -0.0037549477217733085; 3.0000000000000004e-08; -0.2974373495
400; 1111100; 7C; 124; 5; 1; 2.0005e-08; -9.150354564999999e-06; -0.0037492739795896204; 3.0000000000000004e-08; -0.2966284005
400; 1111101; 7D; 125; 6; 8; 2.0005e-08; -4.204156664999999e-06; -0.003767795540169753; 3.0000000000000004e-08; -0.30032365549999995
400; 1111110; 7E; 126; 6; 6; 2.0005e-08; 5.198153535e-06; -0.003749635254608729; 3.0000000000000004e-08; -0.2995105315
400; 1111111; 7F; 127; 7; 4; 2.0005e-08; 3.781750379e-05; -0.003740189212949441; 3.0000000000000004e-08; -0.297232644
400; 10000000; 80; 128; 1; 5; 2.0005e-08; -5.187071464e-05; -0.003715586880878224; 3.0000000000000004e-08; -0.2961400035
400; 10000001; 81; 129; 2; 2; 2.0005e-08; 2.48113082e-05; -0.0037186603475857518; 3.0000000000000004e-08; -0.2953839745
400; 1101; D; 13; 3; 6; 2.0005e-08; -1.6686345260000002e-05; -0.0037518597990568764; 3.0000000000000004e-08; -0.29941093350000003
400; 10001101; 8D; 141; 4; 5; 2.0005e-08; 1.2327240485e-05; -0.003745519573449317; 3.0000000000000004e-08; -0.29795620749999996
400; 10001110; 8E; 142; 4; 3; 2.0005e-08; 3.089351535e-05; -0.0037320669812094896; 3.0000000000000004e-08; -0.29695913399999996
400; 10001111; 8F; 143; 5; 5; 2.0005e-08; -1.5805312499999992e-07; -0.0037252502393800573; 3.0000000000000004e-08; -0.296845399
400; 10010000; 90; 144; 2; 2; 2.0005e-08; 2.089120837e-05; -0.0037163565778417958; 3.0000000000000004e-08; -0.295118533
400; 10010001; 91; 145; 3; 2; 2.0005e-08; 3.5938485084999994e-05; -0.0037182971770535144; 3.0000000000000004e-08; -0.295337907
400; 10010010; 92; 146; 3; 5; 2.0005e-08; -7.218598259999999e-06; -0.0037099933227711765; 3.0000000000000004e-08; -0.2964908385
400; 10010011; 93; 147; 4; 5; 2.0000994e-08; 1.1831426735e-05; -0.0037646244575523192; 3.0000000000000004e-08; -0.298366158
400; 10010100; 94; 148; 3; 2; 2.0005e-08; 1.1538150160000001e-05; -0.0037218013833787244; 3.0000000000000004e-08; -0.2953847655
400; 10010101; 95; 149; 4; 3; 2.0005e-08; -1.4249839069999999e-05; -0.0037256538193244726; 3.0000000000000004e-08; -0.2962479345
400; 1111; F; 15; 4; 5; 2.0005e-08; 1.0918314379999999e-05; -0.0037393775008981583; 3.0000000000000004e-08; -0.29905267550000003
400; 10010110; 96; 150; 4; 2; 2.0005e-08; 1.967267965e-06; -0.0037214491215417787; 3.0000000000000004e-08; -0.29526983900000003
400; 10010111; 97; 151; 5; 2; 2.0005e-08; 2.1266955600000003e-06; -0.0037115008504786853; 3.0000000000000004e-08; -0.2951817515
400; 10011000; 98; 152; 3; 3; 2.0005e-08; 1.3846211695e-05; -0.003734241499655786; 3.0000000000000004e-08; -0.29623867299999995
400; 10011001; 99; 153; 4; 6; 2.0005e-08; 7.730403139999999e-06; -0.0037367037793224127; 3.0000000000000004e-08; -0.2975488895
400; 10011010; 9A; 154; 4; 4; 2.0005e-08; 2.6777172155e-05; -0.003721316174893008; 3.0000000000000004e-08; -0.2966605625
400; 10011011; 9B; 155; 5; 2; 2.0005e-08; -4.3990737730000004e-05; -0.003743343348301035; 3.0000000000000004e-08; -0.29605671899999997
400; 10011100; 9C; 156; 4; 6; 2.0005e-08; -2.7513253815e-05; -0.003731294746954887; 3.0000000000000004e-08; -0.296467983
400; 10011101; 9D; 157; 5; 5; 2.0005e-08; 1.325909363e-05; -0.003742782516475683; 3.0000000000000004e-08; -0.29721985100000003
400; 10011110; 9E; 158; 5; 3; 2.0005e-08; -1.0829643995e-05; -0.0037323186179029065; 3.0000000000000004e-08; -0.2970349745
400; 10011111; 9F; 159; 6; 6; 2.0005e-08; 1.8449302380000002e-05; -0.0037244337426885557; 3.0000000000000004e-08; -0.2962631005
400; 10000; 10; 16; 1; 4; 2.0005e-08; 9.2677658e-07; -0.0037324484453702842; 3.0000000000000004e-08; -0.2972581065
400; 10100000; A0; 160; 2; 3; 2.0005e-08; 2.2899885625e-05; -0.0037219895724802427; 3.0000000000000004e-08; -0.29657755900000005
400; 10100001; A1; 161; 3; 3; 2.0005e-08; 2.397636193e-05; -0.0037263259536663733; 3.0000000000000004e-08; -0.2969816795
400; 10100010; A2; 162; 3; 4; 2.0005e-08; 9.055555176500001e-05; -0.003718308356066029; 3.0000000000000004e-08; -0.2973202905
400; 10100011; A3; 163; 4; 2; 2.0005e-08; 4.0562233495e-05; -0.003762787088445979; 3.0000000000000004e-08; -0.29822601699999995
400; 10100100; A4; 164; 3; 3; 2.0005e-08; 8.078682085e-06; -0.0037291167756742455; 3.0000000000000004e-08; -0.297075148
400; 10100101; A5; 165; 4; 2; 2.0005e-08; -2.895113655e-06; -0.0037311494406517235; 3.0000000000000004e-08; -0.296952901
400; 10100110; A6; 166; 4; 2; 2.0005e-08; -3.0370035564999997e-05; -0.003716522174099764; 3.0000000000000004e-08; -0.2968531575
