P [mW]; data_bin; data_hex; data_dec; hamming_in; hamming_out; time [ns]; I (static) [A]; I (dynamic) [A]; time [ns]; I (laser) [A]
400; 0; 0; 0; 0; 4; 2.0005e-08; -3.500970255e-07; -3.572694415356055e-07; 3.0000000000000004e-08; -0.14295273549999998
400; 1; 1; 1; 1; 5; 2.0005e-08; -8.121965040000001e-07; -0.00021004221378246817; 3.0000000000000004e-08; -0.1421422295
400; 1010; A; 10; 2; 5; 2.0005e-08; -1.2939488e-06; -0.0005683538981922507; 3.0000000000000004e-08; -0.141956322
400; 1100100; 64; 100; 3; 3; 2.0005e-08; 2.3541051654999998e-06; -0.0006078858200739742; 3.0000000000000004e-08; -0.1426061145
400; 1100101; 65; 101; 4; 4; 2.0005e-08; 6.97785922e-06; -0.0009157420057284959; 3.0000000000000004e-08; -0.142259907
400; 1100110; 66; 102; 4; 4; 2.0005e-08; 5.93379057e-06; -0.0009215968591644183; 3.0000000000000004e-08; -0.1422890785
400; 1101010; 6A; 106; 4; 1; 2.0005e-08; -7.898518105e-07; -0.0009978028201365246; 3.0000000000000004e-08; -0.1429966065
400; 1101011; 6B; 107; 5; 7; 2.0005e-08; 1.546905085e-06; -0.001423116254897489; 3.0000000000000004e-08; -0.14183657900000002
400; 1101100; 6C; 108; 4; 2; 2.0005e-08; -1.1767646105e-06; -0.0010130878549817828; 3.0000000000000004e-08; -0.142660402
400; 1101101; 6D; 109; 5; 4; 2.0005e-08; -1.44363764e-06; -0.0013118701435925135; 3.0000000000000004e-08; -0.1423891445
400; 1011; B; 11; 3; 4; 2.0005e-08; -1.112035195e-06; -0.0009005084689724094; 3.0000000000000004e-08; -0.14237416349999998
400; 1101110; 6E; 110; 5; 6; 2.0005e-08; -5.484693585e-06; -0.001242987124275179; 3.0000000000000004e-08; -0.141940501
400; 1101111; 6F; 111; 6; 3; 2.0005e-08; 4.570371864e-06; -0.0015251549021228976; 3.0000000000000004e-08; -0.14246479
400; 1111010; 7A; 122; 5; 5; 2.000243645e-08; 7.096686875000001e-06; -0.0010613811410753143; 3.0000000000000004e-08; -0.1421514915
400; 1111011; 7B; 123; 6; 2; 2.0005e-08; -1.616695615e-06; -0.0015278422478126707; 3.0000000000000004e-08; -0.1425171255
400; 1111100; 7C; 124; 5; 1; 2.0005e-08; -7.221849515e-06; -0.0013734055862964177; 3.0000000000000004e-08; -0.142676902
400; 1111101; 7D; 125; 6; 8; 2.00036543e-08; -1.7529223559999998e-05; -0.0015532111368893645; 3.0000000000000004e-08; -0.1415022565
400; 1111110; 7E; 126; 6; 6; 2.0005e-08; -1.04601695e-05; -0.0015166634615471778; 3.0000000000000004e-08; -0.1417599215
400; 1111111; 7F; 127; 7; 4; 2.0005e-08; -1.0522657945e-05; -0.0017477743128151819; 3.0000000000000004e-08; -0.1423090345
400; 10000000; 80; 128; 1; 5; 2.0005e-08; -1.2725860395e-05; -0.00016583738876985074; 3.0000000000000004e-08; -0.1423065935
400; 10000001; 81; 129; 2; 2; 2.0005e-08; -3.0623158504e-05; -0.0004160833703452453; 3.0000000000000004e-08; -0.142822907
400; 1101; D; 13; 3; 6; 2.0005e-08; -1.4505996e-06; -0.0008477374115713025; 3.0000000000000004e-08; -0.1418884195
400; 10000010; 82; 130; 2; 3; 2.0005e-08; -1.00674415215e-05; -0.000461437536557005; 3.0000000000000004e-08; -0.1425219455
400; 10000011; 83; 131; 3; 5; 2.0005e-08; -5.941700589e-06; -0.0007895918687205575; 3.0000000000000004e-08; -0.14192008550000001
