P [mW]; data_bin; data_hex; data_dec; hamming_in; hamming_out; time [ns]; I (static) [A]; I (dynamic) [A]; time [ns]; I (laser) [A]
600; 0; 0; 0; 0; 4; 2.00005e-08; -5.78626308e-05; -0.003622268180521146; 2.9998846099999995e-08; -9.920476885
600; 1; 1; 1; 1; 5; 2.0002011150000002e-08; -5.9260034199999995e-05; -0.0036253666173696798; 2.99988599e-08; -9.921649205000001
600; 1010; A; 10; 2; 5; 2.00005e-08; -5.5988239949999994e-05; -0.0036207328628224114; 2.99988313e-08; -9.919893689999999
600; 1100100; 64; 100; 3; 3; 2.0001500000000002e-08; -4.9085101400000005e-05; -0.003629741085316891; 2.999692165e-08; -9.919779604999999
600; 1100101; 65; 101; 4; 4; 2.000105e-08; -4.623960915e-05; -0.003636928520015992; 3.000936375e-08; -9.9224011
600; 1100110; 66; 102; 4; 4; 2.000071175e-08; -0.00016833647799999998; -0.00367748894038516; 3.00095585e-08; -9.919804795000001
600; 1100111; 67; 103; 5; 3; 2.000035e-08; -4.557468415e-05; -0.00362266071054326; 2.9998235499999996e-08; -9.920722795
600; 1101000; 68; 104; 3; 3; 2.0001500000000002e-08; -4.84915994e-05; -0.0036304235490804983; 3.000658775e-08; -9.919419210000001
600; 1101001; 69; 105; 4; 6; 2.00006891e-08; -4.874240155e-05; -0.003644554361934506; 2.99981008e-08; -9.920623625000001
600; 1101010; 6A; 106; 4; 1; 2.00005e-08; -4.5196797349999996e-05; -0.0036282974171986393; 2.99982358e-08; -9.91962655
600; 1101011; 6B; 107; 5; 7; 2.000053955e-08; -0.000117075341; -0.0036759556022246385; 3.00041451e-08; -9.92160901
600; 1101100; 6C; 108; 4; 2; 2.00005e-08; -0.000113247442; -0.0036581161610280016; 3.0025e-08; -9.91927476
600; 1101101; 6D; 109; 5; 4; 2.00002206e-08; -5.75580449e-05; -0.0036374294507613026; 2.99981071e-08; -9.920442095
600; 1011; B; 11; 3; 4; 2.00005e-08; -0.0001624605795; -0.003682593479974431; 3.000267215e-08; -9.92051973
600; 1101110; 6E; 110; 5; 6; 2.00006138e-08; -7.79408648e-05; -0.0036546260301588643; 2.99983063e-08; -9.91929914
600; 1101111; 6F; 111; 6; 3; 2.0001500000000002e-08; -3.263005465e-05; -0.0036316305183158857; 2.99982214e-08; -9.92021604
600; 1110000; 70; 112; 3; 3; 2.0001500000000002e-08; -4.2864825650000004e-05; -0.003634714572635518; 2.999903525e-08; -9.92250898
600; 1110001; 71; 113; 4; 4; 2.000038475e-08; -4.28408049e-05; -0.0036328207631064467; 2.9998221900000005e-08; -9.922196665
600; 1110010; 72; 114; 4; 1; 2.00005e-08; -5.241538655e-05; -0.0036165323933258415; 3.00082357e-08; -9.921258385000002
600; 1110011; 73; 115; 5; 5; 2.00005e-08; -5.1186215649999994e-05; -0.003627216785366699; 3.0002519900000005e-08; -9.922170895
600; 1110100; 74; 116; 4; 3; 2.0000328e-08; -4.69328183e-05; -0.0036145528608884305; 2.998717125e-08; -9.92209821
600; 1110101; 75; 117; 5; 5; 2.000039965e-08; -4.3868073699999995e-05; -0.003623099404416528; 2.9998115100000004e-08; -9.921764425
600; 1110110; 76; 118; 5; 3; 2.00005e-08; -4.91551668e-05; -0.0036283165241110136; 2.99981674e-08; -9.920659385
600; 1110111; 77; 119; 6; 6; 2.0001500000000002e-08; -5.0674430900000004e-05; -0.0036237635131563923; 3.000780995e-08; -9.921566595000002
600; 1100; C; 12; 2; 7; 2.0001500000000002e-08; -5.99406885e-05; -0.0036290724824164394; 2.99987459e-08; -9.919532355000001
600; 1111000; 78; 120; 4; 5; 2.00005e-08; -2.702238315e-05; -0.0036200084534497435; 2.99981144e-08; -9.920261945
600; 1111001; 79; 121; 5; 5; 2.00005e-08; -2.6008853099999997e-05; -0.0036154634756527535; 2.99874101e-08; -9.92295004
600; 1111010; 7A; 122; 5; 5; 2.0001500000000002e-08; -4.382445735e-05; -0.003625438285895009; 3.00038005e-08; -9.920466874999999
600; 1111011; 7B; 123; 6; 2; 2.00005e-08; -6.076892955e-05; -0.00363328475509997; 2.99981876e-08; -9.921364095000001
600; 1111100; 7C; 124; 5; 1; 2.0001500000000002e-08; -4.4158314e-05; -0.0036200543111800923; 2.99981172e-08; -9.92010361
600; 1111101; 7D; 125; 6; 8; 2.0001500000000002e-08; -6.047294635e-05; -0.003637899965214728; 3.00008243e-08; -9.922775755
600; 1111110; 7E; 126; 6; 6; 2.0000375050000002e-08; -4.08705054e-05; -0.003647227013051723; 2.99982366e-08; -9.92013163
600; 1111111; 7F; 127; 7; 4; 2.0000514149999998e-08; -6.03862548e-05; -0.0036190058328908377; 2.99982035e-08; -9.921055675000002
600; 10000000; 80; 128; 1; 5; 2.0001500000000002e-08; -3.92556677e-05; -0.003630750262059194; 2.99986494e-08; -9.92132753
600; 10000001; 81; 129; 2; 2; 2.00000859e-08; -5.59508334e-05; -0.0036218249521155765; 3.0003039e-08; -9.922488869999999
600; 1101; D; 13; 3; 6; 2.0001500000000002e-08; -5.69536594e-05; -0.0036400495248382434; 3.001051135e-08; -9.920711489999999
600; 10000010; 82; 130; 2; 3; 2.00005e-08; -6.343012115e-05; -0.0036255097045792915; 2.99935635e-08; -9.92299799
600; 10000011; 83; 131; 3; 5; 2.0001500000000002e-08; -5.599334615e-05; -0.003625562836747378; 2.99987046e-08; -9.922442145
600; 10000100; 84; 132; 2; 6; 2.00005e-08; -4.17553864e-05; -0.0036206573065841793; 2.999265825e-08; -9.92238301
600; 10000101; 85; 133; 3; 5; 2.0001500000000002e-08; -3.43771744e-05; -0.003618088664547129; 3.000533645e-08; -9.92204772
600; 10000110; 86; 134; 3; 2; 2.00005109e-08; -4.9177894650000005e-05; -0.003619039924378772; 2.9983902099999996e-08; -9.92243193
600; 10000111; 87; 135; 4; 4; 2.00000781e-08; -6.68762329e-05; -0.003610709757393986; 3.00117144e-08; -9.9218647
600; 10001000; 88; 136; 2; 3; 2.0001500000000002e-08; -5.995280585e-05; -0.003608150261618996; 2.9998614199999996e-08; -9.920544490000001
600; 10001001; 89; 137; 3; 5; 2.0001500000000002e-08; -5.7805645e-05; -0.0036287251810274658; 3.001102695e-08; -9.92173755
600; 10001010; 8A; 138; 3; 6; 2.000212675e-08; -4.68624004e-05; -0.003626674360994262; 2.9998682200000004e-08; -9.920741775
600; 10001011; 8B; 139; 4; 5; 2.0001500000000002e-08; -2.3238211749999998e-05; -0.0036399925388493817; 3.0009247049999994e-08; -9.921660375
600; 1110; E; 14; 3; 5; 2.000105e-08; -4.945814655e-05; -0.00365569750028955; 2.99989567e-08; -9.919563499999999
